HEADER_TIME_STAMP,Y_ACCELERATION_METERS_PER_SECOND_SQUARED,group
2015-12-15 13:51:47,2.887,gt
2015-12-15 13:51:47,2.523,gt
2015-12-15 13:51:47,2.141,gt
2015-12-15 13:51:47,1.813,gt
2015-12-15 13:51:47,1.547,gt
2015-12-15 13:51:47,1.289,gt
2015-12-15 13:51:47,1.066,gt
2015-12-15 13:51:47,0.871,gt
2015-12-15 13:51:47,0.715,gt
2015-12-15 13:51:47,0.602,gt
2015-12-15 13:51:47,0.527,gt
2015-12-15 13:51:47,0.469,gt
2015-12-15 13:51:47,0.406,gt
2015-12-15 13:51:47,0.344,gt
2015-12-15 13:51:47,0.309,gt
2015-12-15 13:51:47,0.344,gt
2015-12-15 13:51:47,0.402,gt
2015-12-15 13:51:48,0.43,gt
2015-12-15 13:51:48,0.422,gt
2015-12-15 13:51:48,0.477,gt
2015-12-15 13:51:48,0.637,gt
2015-12-15 13:51:48,0.875,gt
2015-12-15 13:51:48,1.234,gt
2015-12-15 13:51:48,1.848,gt
2015-12-15 13:51:48,2.75,gt
2015-12-15 13:51:48,3.602,gt
2015-12-15 13:51:48,4.02,gt
2015-12-15 13:51:48,4.145,gt
2015-12-15 13:51:48,4.043,gt
2015-12-15 13:51:48,3.719,gt
2015-12-15 13:51:48,3.164,gt
2015-12-15 13:51:48,2.523,gt
2015-12-15 13:51:48,2.043,gt
2015-12-15 13:51:48,1.758,gt
2015-12-15 13:51:48,1.48,gt
2015-12-15 13:51:48,1.156,gt
2015-12-15 13:51:48,0.813,gt
2015-12-15 13:51:48,0.484,gt
2015-12-15 13:51:48,0.211,gt
2015-12-15 13:51:48,-0.004,gt
2015-12-15 13:51:48,-0.191,gt
2015-12-15 13:51:48,-0.305,gt
2015-12-15 13:51:48,-0.379,gt
2015-12-15 13:51:48,-0.438,gt
2015-12-15 13:51:48,-0.473,gt
2015-12-15 13:51:48,-0.492,gt
2015-12-15 13:51:48,-0.523,gt
2015-12-15 13:51:48,-0.574,gt
2015-12-15 13:51:48,-0.621,gt
2015-12-15 13:51:48,-0.629,gt
2015-12-15 13:51:48,-0.582,gt
2015-12-15 13:51:48,-0.523,gt
2015-12-15 13:51:48,-0.469,gt
2015-12-15 13:51:48,-0.352,gt
2015-12-15 13:51:48,-0.137,gt
2015-12-15 13:51:48,0.355,gt
2015-12-15 13:51:48,1.293,gt
2015-12-15 13:51:48,2.383,gt
2015-12-15 13:51:48,3.207,gt
2015-12-15 13:51:48,3.602,gt
2015-12-15 13:51:48,3.859,gt
2015-12-15 13:51:48,3.973,gt
2015-12-15 13:51:48,3.766,gt
2015-12-15 13:51:48,3.348,gt
2015-12-15 13:51:48,2.852,gt
2015-12-15 13:51:48,2.371,gt
2015-12-15 13:51:48,1.934,gt
2015-12-15 13:51:48,1.559,gt
2015-12-15 13:51:48,1.293,gt
2015-12-15 13:51:48,1.09,gt
2015-12-15 13:51:48,0.918,gt
2015-12-15 13:51:48,0.793,gt
2015-12-15 13:51:48,0.715,gt
2015-12-15 13:51:48,0.668,gt
2015-12-15 13:51:48,0.629,gt
2015-12-15 13:51:48,0.566,gt
2015-12-15 13:51:48,0.512,gt
2015-12-15 13:51:48,0.477,gt
2015-12-15 13:51:48,0.469,gt
2015-12-15 13:51:48,0.488,gt
2015-12-15 13:51:48,0.563,gt
2015-12-15 13:51:48,0.723,gt
2015-12-15 13:51:48,0.938,gt
2015-12-15 13:51:48,1.172,gt
2015-12-15 13:51:48,1.445,gt
2015-12-15 13:51:48,1.91,gt
2015-12-15 13:51:48,2.738,gt
2015-12-15 13:51:48,3.793,gt
2015-12-15 13:51:48,4.477,gt
2015-12-15 13:51:48,4.523,gt
2015-12-15 13:51:48,4.348,gt
2015-12-15 13:51:48,4.516,gt
2015-12-15 13:51:48,4.711,gt
2015-12-15 13:51:48,4.266,gt
2015-12-15 13:51:48,3.305,gt
2015-12-15 13:51:48,2.313,gt
2015-12-15 13:51:48,1.578,gt
2015-12-15 13:51:49,1.168,gt
2015-12-15 13:51:49,0.895,gt
2015-12-15 13:51:49,0.578,gt
2015-12-15 13:51:49,0.195,gt
2015-12-15 13:51:49,-0.199,gt
2015-12-15 13:51:49,-0.473,gt
2015-12-15 13:51:49,-0.578,gt
2015-12-15 13:51:49,-0.566,gt
2015-12-15 13:51:49,-0.504,gt
2015-12-15 13:51:49,-0.457,gt
2015-12-15 13:51:49,-0.469,gt
2015-12-15 13:51:49,-0.523,gt
2015-12-15 13:51:49,-0.594,gt
2015-12-15 13:51:49,-0.641,gt
2015-12-15 13:51:49,-0.664,gt
2015-12-15 13:51:49,-0.641,gt
2015-12-15 13:51:49,-0.535,gt
2015-12-15 13:51:49,-0.379,gt
2015-12-15 13:51:49,-0.199,gt
2015-12-15 13:51:49,0.027,gt
2015-12-15 13:51:49,0.52,gt
2015-12-15 13:51:49,1.652,gt
2015-12-15 13:51:49,3.051,gt
2015-12-15 13:51:49,3.934,gt
2015-12-15 13:51:49,4.148,gt
2015-12-15 13:51:49,4.434,gt
2015-12-15 13:51:49,4.531,gt
2015-12-15 13:51:49,4.141,gt
2015-12-15 13:51:49,3.602,gt
2015-12-15 13:51:49,3.113,gt
2015-12-15 13:51:49,2.723,gt
2015-12-15 13:51:49,2.344,gt
2015-12-15 13:51:49,1.922,gt
2015-12-15 13:51:49,1.469,gt
2015-12-15 13:51:49,1.051,gt
2015-12-15 13:51:49,0.734,gt
2015-12-15 13:51:49,0.508,gt
2015-12-15 13:51:49,0.375,gt
2015-12-15 13:51:49,0.352,gt
2015-12-15 13:51:49,0.387,gt
2015-12-15 13:51:49,0.402,gt
2015-12-15 13:51:49,0.316,gt
2015-12-15 13:51:49,0.184,gt
2015-12-15 13:51:49,0.078,gt
2015-12-15 13:51:49,0.027,gt
2015-12-15 13:51:49,0.031,gt
2015-12-15 13:51:49,0.109,gt
2015-12-15 13:51:49,0.262,gt
2015-12-15 13:51:49,0.531,gt
2015-12-15 13:51:49,1.129,gt
2015-12-15 13:51:49,2.301,gt
2015-12-15 13:51:49,3.742,gt
2015-12-15 13:51:49,4.551,gt
2015-12-15 13:51:49,4.613,gt
2015-12-15 13:51:49,4.406,gt
2015-12-15 13:51:49,4.156,gt
2015-12-15 13:51:49,3.984,gt
