HZ,TYPE,variable,value
1,counts,cv,0.17854140630212
2,counts,cv,0.219235176415282
3,counts,cv,0.243142542996915
4,counts,cv,0.235729716513158
5,counts,cv,0.247234860703558
6,counts,cv,0.361561914778555
7,counts,cv,0.353201550914564
1,enmo,cv,0.234987888762431
2,enmo,cv,0.25904531673733
3,enmo,cv,0.258916852542281
4,enmo,cv,0.302267582248689
5,enmo,cv,0.301208147614455
6,enmo,cv,0.473538758853007
7,enmo,cv,0.603546333188422
1,mims,cv,0.0157269843721054
2,mims,cv,0.0135776136398573
3,mims,cv,0.0115491804683821
4,mims,cv,0.0683375594965999
5,mims,cv,0.0739228513193568
6,mims,cv,0.137293799415411
7,mims,cv,0.253049221356692
1,mims_narrowband,cv,0.0144753644454488
2,mims_narrowband,cv,0.0142875854512718
3,mims_narrowband,cv,0.012550033248232
4,mims_narrowband,cv,0.0719996493871586
5,mims_narrowband,cv,0.0782938049593071
6,mims_narrowband,cv,0.232955712583915
7,mims_narrowband,cv,0.384536291593339
1,mims_narrowband_noextrap,cv,0.0144753768618427
2,mims_narrowband_noextrap,cv,0.0142875797362125
3,mims_narrowband_noextrap,cv,0.0125500303081922
4,mims_narrowband_noextrap,cv,0.102788170603649
5,mims_narrowband_noextrap,cv,0.101593930859111
6,mims_narrowband_noextrap,cv,0.191716299205017
7,mims_narrowband_noextrap,cv,0.366172104758863
1,mims_noextrap,cv,0.0157269819481127
2,mims_noextrap,cv,0.0135776143827362
3,mims_noextrap,cv,0.0115491805724085
4,mims_noextrap,cv,0.105059783821813
5,mims_noextrap,cv,0.104430877496936
6,mims_noextrap,cv,0.312207506882837
7,mims_noextrap,cv,0.430626648072481
