HEADER_TIME_STAMP,X_ACCELERATION_METERS_PER_SECOND_SQUARED,Y_ACCELERATION_METERS_PER_SECOND_SQUARED,Z_ACCELERATION_METERS_PER_SECOND_SQUARED
2016-01-15 11:00:00.013,0.148,-0.438,0.016
2016-01-15 11:00:00.025,0.215,-0.418,-0.023
2016-01-15 11:00:00.038,0.266,-0.402,-0.012
2016-01-15 11:00:00.050,0.336,-0.430,0.012
2016-01-15 11:00:00.063,0.430,-0.320,0.000
2016-01-15 11:00:00.075,0.535,-0.258,0.004
2016-01-15 11:00:00.088,0.641,-0.348,0.020
2016-01-15 11:00:00.100,0.777,-0.418,0.023
2016-01-15 11:00:00.113,0.938,-0.359,0.043
2016-01-15 11:00:00.125,1.113,-0.234,0.055
2016-01-15 11:00:00.138,1.254,-0.152,0.039
2016-01-15 11:00:00.150,1.410,-0.180,0.016
2016-01-15 11:00:00.163,1.645,-0.172,-0.020
2016-01-15 11:00:00.175,1.910,-0.160,-0.063
2016-01-15 11:00:00.188,2.164,-0.113,-0.059
2016-01-15 11:00:00.200,2.449,0.035,-0.152
2016-01-15 11:00:00.213,2.652,0.359,-0.410
2016-01-15 11:00:00.225,2.512,0.574,-0.602
2016-01-15 11:00:00.238,2.285,0.813,-0.629
2016-01-15 11:00:00.250,2.168,1.109,-0.527
2016-01-15 11:00:00.263,2.066,1.207,-0.672
2016-01-15 11:00:00.275,1.883,1.547,-1.035
2016-01-15 11:00:00.288,1.703,2.227,-1.293
2016-01-15 11:00:00.300,1.504,2.629,-1.309
2016-01-15 11:00:00.313,1.434,2.520,-1.109
2016-01-15 11:00:00.325,1.426,2.199,-0.930
2016-01-15 11:00:00.338,1.520,1.699,-0.828
2016-01-15 11:00:00.350,1.535,0.582,0.285
2016-01-15 11:00:00.363,1.293,-1.977,0.859
2016-01-15 11:00:00.375,1.223,-2.195,0.559
2016-01-15 11:00:00.388,1.484,0.230,-0.277
2016-01-15 11:00:00.400,1.770,0.586,-0.352
2016-01-15 11:00:00.413,1.719,-0.137,-0.250
2016-01-15 11:00:00.425,1.277,0.090,-0.379
2016-01-15 11:00:00.438,1.129,0.020,-0.430
2016-01-15 11:00:00.450,1.203,0.207,-0.449
2016-01-15 11:00:00.463,1.191,0.246,-0.383
2016-01-15 11:00:00.475,1.098,0.059,-0.305
2016-01-15 11:00:00.488,1.074,0.074,-0.246
2016-01-15 11:00:00.500,0.996,-0.035,-0.254
2016-01-15 11:00:00.513,1.008,-0.082,-0.164
2016-01-15 11:00:00.525,0.996,-0.098,-0.145
2016-01-15 11:00:00.538,1.031,-0.141,-0.133
2016-01-15 11:00:00.550,0.992,-0.207,-0.152
2016-01-15 11:00:00.563,1.016,-0.176,-0.160
2016-01-15 11:00:00.575,1.020,-0.125,-0.137
2016-01-15 11:00:00.588,1.047,-0.133,-0.141
2016-01-15 11:00:00.600,1.027,-0.125,-0.156
2016-01-15 11:00:00.613,1.012,-0.129,-0.223
2016-01-15 11:00:00.625,1.000,-0.070,-0.246
2016-01-15 11:00:00.638,1.016,-0.078,-0.234
2016-01-15 11:00:00.650,1.023,-0.102,-0.270
2016-01-15 11:00:00.663,1.008,-0.117,-0.285
2016-01-15 11:00:00.675,0.977,-0.219,-0.273
2016-01-15 11:00:00.688,0.957,-0.215,-0.258
2016-01-15 11:00:00.700,0.949,-0.168,-0.234
2016-01-15 11:00:00.713,0.973,-0.074,-0.254
2016-01-15 11:00:00.725,1.012,-0.035,-0.266
2016-01-15 11:00:00.738,1.027,-0.086,-0.234
2016-01-15 11:00:00.750,1.020,-0.117,-0.199
2016-01-15 11:00:00.763,1.020,-0.129,-0.172
2016-01-15 11:00:00.775,1.004,-0.133,-0.156
2016-01-15 11:00:00.788,1.063,-0.117,-0.121
2016-01-15 11:00:00.800,1.113,-0.125,-0.148
2016-01-15 11:00:00.813,1.145,-0.102,-0.152
2016-01-15 11:00:00.825,1.145,-0.160,-0.172
2016-01-15 11:00:00.838,1.160,-0.172,-0.184
2016-01-15 11:00:00.850,1.234,-0.090,-0.195
2016-01-15 11:00:00.863,1.270,-0.105,-0.211
2016-01-15 11:00:00.875,1.301,-0.094,-0.164
2016-01-15 11:00:00.888,1.336,-0.121,-0.125
2016-01-15 11:00:00.900,1.398,-0.141,-0.141
2016-01-15 11:00:00.913,1.453,-0.125,-0.172
2016-01-15 11:00:00.925,1.480,-0.094,-0.188
2016-01-15 11:00:00.938,1.504,-0.125,-0.160
2016-01-15 11:00:00.950,1.563,-0.254,-0.145
2016-01-15 11:00:00.963,1.648,-0.367,-0.242
2016-01-15 11:00:00.975,1.609,-0.598,-0.234
2016-01-15 11:00:00.988,1.609,-0.984,-0.121
2016-01-15 11:00:01.000,1.641,-1.195,-0.063
2016-01-15 11:00:01.013,1.734,-0.746,-0.168
2016-01-15 11:00:01.025,1.824,-0.191,-0.438
2016-01-15 11:00:01.038,1.965,-0.543,-0.441
2016-01-15 11:00:01.050,1.867,-0.406,-0.395
2016-01-15 11:00:01.063,1.598,-0.203,-0.438
2016-01-15 11:00:01.075,1.379,-0.148,-0.469
2016-01-15 11:00:01.088,1.059,-0.129,-0.582
2016-01-15 11:00:01.100,1.074,-0.043,-0.555
2016-01-15 11:00:01.113,0.840,-0.652,-0.340
2016-01-15 11:00:01.125,0.551,-0.820,-0.148
2016-01-15 11:00:01.138,0.340,-0.746,-0.020
2016-01-15 11:00:01.150,0.219,-0.594,0.000
2016-01-15 11:00:01.163,0.211,-0.461,-0.023
2016-01-15 11:00:01.175,0.227,-0.410,-0.047
2016-01-15 11:00:01.188,0.246,-0.371,-0.043
2016-01-15 11:00:01.200,0.297,-0.375,-0.031
2016-01-15 11:00:01.213,0.367,-0.320,-0.023
2016-01-15 11:00:01.225,0.445,-0.277,-0.027
2016-01-15 11:00:01.238,0.531,-0.328,-0.027
2016-01-15 11:00:01.250,0.652,-0.371,-0.012
2016-01-15 11:00:01.263,0.801,-0.316,0.023
2016-01-15 11:00:01.275,0.945,-0.199,0.027
2016-01-15 11:00:01.288,1.098,-0.180,0.012
2016-01-15 11:00:01.300,1.297,-0.230,-0.008
2016-01-15 11:00:01.313,1.523,-0.250,-0.023
2016-01-15 11:00:01.325,1.801,-0.215,-0.012
2016-01-15 11:00:01.338,2.047,-0.105,0.020
2016-01-15 11:00:01.350,2.289,0.164,-0.066
2016-01-15 11:00:01.363,2.445,0.289,-0.270
2016-01-15 11:00:01.375,2.449,0.285,-0.480
2016-01-15 11:00:01.388,2.348,0.582,-0.633
