------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v2.5.0 date format M/d/yyyy at 40 Hz  Filter Normal -----------,,
Serial Number: CLE2B20130009,,
Start Time 11:27:00,,
Start Date 6/14/2018,,
Epoch Period (hh:mm:ss) 00:00:00,,
Download Time 15:16:42,,
Download Date 6/14/2018,,
Current Memory Address: 0,,
Current Battery Voltage: 4.21     Mode = 12,,
--------------------------------------------------,,
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.009,-0.053,-0.988
-0.009,-0.053,-0.982
-0.009,-0.053,-0.988
-0.009,-0.053,-0.982
-0.009,-0.053,-0.982
-0.009,-0.056,-0.988
-0.009,-0.053,-0.988
-0.003,-0.053,-0.988
-0.009,-0.056,-0.982
-0.009,-0.053,-0.982
-0.009,-0.056,-0.982
-0.009,-0.047,-0.988
-0.009,-0.053,-0.991
-0.009,-0.056,-0.988
-0.003,-0.056,-0.982
-0.009,-0.053,-0.982
-0.003,-0.056,-0.988
-0.003,-0.056,-0.988
-0.009,-0.056,-0.982
-0.003,-0.056,-0.988
-0.009,-0.053,-0.982
-0.003,-0.053,-0.982
-0.003,-0.053,-0.988
-0.012,-0.053,-0.988
-0.012,-0.056,-0.982
-0.009,-0.053,-0.979
-0.003,-0.047,-0.988
-0.003,-0.053,-0.988
-0.003,-0.056,-0.988
-0.009,-0.053,-0.982
-0.003,-0.056,-0.988
0,-0.047,-0.988
-0.003,-0.053,-0.982
-0.012,-0.053,-0.988
-0.009,-0.047,-0.982
-0.009,-0.056,-0.982
-0.003,-0.047,-0.982
-0.009,-0.056,-0.982
-0.009,-0.056,-0.982
-0.009,-0.053,-0.982
-0.009,-0.053,-0.982
-0.009,-0.053,-0.982
-0.009,-0.053,-0.982
-0.009,-0.053,-0.988
-0.009,-0.053,-0.982
-0.003,-0.053,-0.988
-0.003,-0.056,-0.979
-0.009,-0.053,-0.982
-0.003,-0.056,-0.988
-0.003,-0.053,-0.982
-0.009,-0.053,-0.988
-0.009,-0.053,-0.988
-0.009,-0.056,-0.988
-0.003,-0.056,-0.988
-0.009,-0.056,-0.988
-0.003,-0.053,-0.982
-0.003,-0.056,-0.982
-0.003,-0.047,-0.988
-0.009,-0.053,-0.982
-0.009,-0.047,-0.982
-0.009,-0.053,-0.988
-0.003,-0.053,-0.982
-0.012,-0.047,-0.988
-0.009,-0.047,-0.988
-0.009,-0.053,-0.988
-0.009,-0.053,-0.988
-0.009,-0.056,-0.988
-0.003,-0.053,-0.988
-0.009,-0.056,-0.982
-0.009,-0.056,-0.982
-0.009,-0.047,-0.982
-0.003,-0.053,-0.988
-0.009,-0.047,-0.982
-0.012,-0.053,-0.982
-0.003,-0.053,-0.982
-0.009,-0.053,-0.988
