HEADER_TIME_STAMP,X,Y,Z
2017-03-16 12:25:56.000,0.76,1.469,-0.012
2017-03-16 12:25:56.013,0.728,1.475,0.045
2017-03-16 12:25:56.025,0.695,1.472,0.097
2017-03-16 12:25:56.037,0.661,1.467,0.128
2017-03-16 12:25:56.050,0.642,1.446,0.147
2017-03-16 12:25:56.062,0.603,1.441,0.172
2017-03-16 12:25:56.075,0.531,1.402,0.214
2017-03-16 12:25:56.088,0.482,1.331,0.245
2017-03-16 12:25:56.100,0.455,1.27,0.258
2017-03-16 12:25:56.112,0.441,1.236,0.253
2017-03-16 12:25:56.125,0.419,1.202,0.226
2017-03-16 12:25:56.138,0.403,1.165,0.203
2017-03-16 12:25:56.150,0.384,1.147,0.196
2017-03-16 12:25:56.162,0.353,1.108,0.216
2017-03-16 12:25:56.175,0.326,1.059,0.226
2017-03-16 12:25:56.187,0.32,1.022,0.232
2017-03-16 12:25:56.200,0.311,0.985,0.223
2017-03-16 12:25:56.213,0.3,0.948,0.203
2017-03-16 12:25:56.225,0.273,0.915,0.194
2017-03-16 12:25:56.237,0.247,0.9,0.174
2017-03-16 12:25:56.250,0.238,0.897,0.158
2017-03-16 12:25:56.263,0.227,0.881,0.152
2017-03-16 12:25:56.275,0.214,0.85,0.152
2017-03-16 12:25:56.287,0.202,0.837,0.147
2017-03-16 12:25:56.300,0.191,0.812,0.138
2017-03-16 12:25:56.312,0.185,0.798,0.127
2017-03-16 12:25:56.325,0.182,0.795,0.111
2017-03-16 12:25:56.338,0.182,0.795,0.109
2017-03-16 12:25:56.350,0.185,0.804,0.111
2017-03-16 12:25:56.362,0.188,0.818,0.117
2017-03-16 12:25:56.375,0.191,0.824,0.123
2017-03-16 12:25:56.388,0.196,0.841,0.123
2017-03-16 12:25:56.400,0.205,0.877,0.123
2017-03-16 12:25:56.412,0.213,0.908,0.129
2017-03-16 12:25:56.425,0.229,0.927,0.126
2017-03-16 12:25:56.437,0.232,0.934,0.123
2017-03-16 12:25:56.450,0.238,0.971,0.111
2017-03-16 12:25:56.463,0.254,1.057,0.111
2017-03-16 12:25:56.475,0.284,1.191,0.111
2017-03-16 12:25:56.487,0.302,1.293,0.139
2017-03-16 12:25:56.500,0.296,1.343,0.179
2017-03-16 12:25:56.513,0.277,1.335,0.21
2017-03-16 12:25:56.525,0.273,1.293,0.208
2017-03-16 12:25:56.537,0.297,1.242,0.19
2017-03-16 12:25:56.550,0.352,1.217,0.126
2017-03-16 12:25:56.562,0.409,1.208,0.042
2017-03-16 12:25:56.575,0.455,1.217,-0.047
2017-03-16 12:25:56.588,0.483,1.25,-0.096
2017-03-16 12:25:56.600,0.496,1.296,-0.085
2017-03-16 12:25:56.612,0.47,1.306,-0.029
2017-03-16 12:25:56.625,0.44,1.267,0.059
2017-03-16 12:25:56.638,0.392,1.222,0.13
2017-03-16 12:25:56.650,0.352,1.158,0.17
2017-03-16 12:25:56.662,0.326,1.082,0.168
2017-03-16 12:25:56.675,0.343,1.006,0.132
2017-03-16 12:25:56.687,0.373,0.955,0.084
2017-03-16 12:25:56.700,0.425,0.909,0.038
2017-03-16 12:25:56.713,0.459,0.864,0.012
2017-03-16 12:25:56.725,0.496,0.821,0.012
2017-03-16 12:25:56.737,0.527,0.796,0.023
2017-03-16 12:25:56.750,0.545,0.78,0.032
2017-03-16 12:25:56.763,0.548,0.768,0.044
2017-03-16 12:25:56.775,0.548,0.78,0.038
2017-03-16 12:25:56.787,0.54,0.791,0.024
2017-03-16 12:25:56.800,0.528,0.824,0.003
2017-03-16 12:25:56.812,0.528,0.855,-0.009
2017-03-16 12:25:56.825,0.54,0.88,-0.015
2017-03-16 12:25:56.838,0.559,0.905,-0.018
2017-03-16 12:25:56.850,0.589,0.924,-0.023
2017-03-16 12:25:56.862,0.629,0.927,-0.04
2017-03-16 12:25:56.875,0.657,0.924,-0.073
2017-03-16 12:25:56.888,0.694,0.945,-0.102
2017-03-16 12:25:56.900,0.704,1,-0.132
2017-03-16 12:25:56.912,0.716,1.048,-0.13
2017-03-16 12:25:56.925,0.704,1.088,-0.103
2017-03-16 12:25:56.937,0.696,1.119,-0.074
2017-03-16 12:25:56.950,0.669,1.152,-0.059
2017-03-16 12:25:56.963,0.643,1.175,-0.056
2017-03-16 12:25:56.975,0.633,1.238,-0.053
2017-03-16 12:25:56.987,0.628,1.353,-0.053
2017-03-16 12:25:57.000,0.63,1.469,-0.026
2017-03-16 12:25:57.013,0.62,1.51,0.016
2017-03-16 12:25:57.025,0.595,1.466,0.059
2017-03-16 12:25:57.037,0.561,1.387,0.093
2017-03-16 12:25:57.050,0.54,1.334,0.109
2017-03-16 12:25:57.062,0.54,1.315,0.111
2017-03-16 12:25:57.075,0.528,1.299,0.114
2017-03-16 12:25:57.088,0.514,1.305,0.125
2017-03-16 12:25:57.100,0.484,1.308,0.138
