HEADER_TIME_STAMP,X_ACCELERATION_METERS_PER_SECOND_SQUARED,group
2015-10-08 15:02:43,-0.957,gt
2015-10-08 15:02:43,-0.867,gt
2015-10-08 15:02:43,-0.781,gt
2015-10-08 15:02:43,-0.715,gt
2015-10-08 15:02:43,-0.66,gt
2015-10-08 15:02:43,-0.617,gt
2015-10-08 15:02:43,-0.57,gt
2015-10-08 15:02:43,-0.543,gt
2015-10-08 15:02:43,-0.52,gt
2015-10-08 15:02:43,-0.469,gt
2015-10-08 15:02:43,-0.426,gt
2015-10-08 15:02:43,-0.418,gt
2015-10-08 15:02:43,-0.426,gt
2015-10-08 15:02:43,-0.418,gt
2015-10-08 15:02:43,-0.422,gt
2015-10-08 15:02:43,-0.441,gt
2015-10-08 15:02:43,-0.465,gt
2015-10-08 15:02:43,-0.488,gt
2015-10-08 15:02:43,-0.52,gt
2015-10-08 15:02:43,-0.555,gt
2015-10-08 15:02:43,-0.578,gt
2015-10-08 15:02:43,-0.59,gt
2015-10-08 15:02:43,-0.59,gt
2015-10-08 15:02:43,-0.582,gt
2015-10-08 15:02:43,-0.578,gt
2015-10-08 15:02:43,-0.566,gt
2015-10-08 15:02:43,-0.566,gt
2015-10-08 15:02:43,-0.602,gt
2015-10-08 15:02:43,-0.648,gt
2015-10-08 15:02:43,-0.695,gt
2015-10-08 15:02:43,-0.746,gt
2015-10-08 15:02:43,-0.797,gt
2015-10-08 15:02:43,-0.813,gt
2015-10-08 15:02:43,-0.805,gt
2015-10-08 15:02:43,-0.809,gt
2015-10-08 15:02:43,-0.863,gt
2015-10-08 15:02:43,-0.965,gt
2015-10-08 15:02:43,-1.047,gt
2015-10-08 15:02:43,-1.07,gt
2015-10-08 15:02:43,-1.031,gt
2015-10-08 15:02:43,-0.969,gt
2015-10-08 15:02:43,-0.879,gt
2015-10-08 15:02:43,-0.773,gt
2015-10-08 15:02:43,-0.68,gt
2015-10-08 15:02:43,-0.602,gt
2015-10-08 15:02:43,-0.543,gt
2015-10-08 15:02:43,-0.488,gt
2015-10-08 15:02:43,-0.453,gt
2015-10-08 15:02:43,-0.395,gt
2015-10-08 15:02:43,-0.359,gt
2015-10-08 15:02:43,-0.34,gt
2015-10-08 15:02:43,-0.309,gt
2015-10-08 15:02:43,-0.281,gt
2015-10-08 15:02:43,-0.266,gt
2015-10-08 15:02:43,-0.223,gt
2015-10-08 15:02:43,-0.156,gt
2015-10-08 15:02:43,-0.063,gt
2015-10-08 15:02:43,0.043,gt
2015-10-08 15:02:43,0.242,gt
2015-10-08 15:02:43,0.453,gt
2015-10-08 15:02:43,0.664,gt
2015-10-08 15:02:43,0.777,gt
2015-10-08 15:02:43,0.887,gt
2015-10-08 15:02:43,1.016,gt
2015-10-08 15:02:43,1.02,gt
2015-10-08 15:02:43,0.652,gt
2015-10-08 15:02:43,0.156,gt
2015-10-08 15:02:43,-0.652,gt
2015-10-08 15:02:43,-1.719,gt
2015-10-08 15:02:43,-2.023,gt
2015-10-08 15:02:43,-1.445,gt
2015-10-08 15:02:43,-1.156,gt
2015-10-08 15:02:44,-1.254,gt
2015-10-08 15:02:44,-1.438,gt
2015-10-08 15:02:44,-1.664,gt
2015-10-08 15:02:44,-1.953,gt
2015-10-08 15:02:44,-2.23,gt
2015-10-08 15:02:44,-2.457,gt
2015-10-08 15:02:44,-2.641,gt
2015-10-08 15:02:44,-2.801,gt
2015-10-08 15:02:44,-2.898,gt
2015-10-08 15:02:44,-2.891,gt
2015-10-08 15:02:44,-2.676,gt
2015-10-08 15:02:44,-2.414,gt
2015-10-08 15:02:44,-2.137,gt
2015-10-08 15:02:44,-1.887,gt
2015-10-08 15:02:44,-1.715,gt
2015-10-08 15:02:44,-1.59,gt
2015-10-08 15:02:44,-1.5,gt
2015-10-08 15:02:44,-1.375,gt
2015-10-08 15:02:44,-1.211,gt
2015-10-08 15:02:44,-1.09,gt
2015-10-08 15:02:44,-0.992,gt
2015-10-08 15:02:44,-0.938,gt
2015-10-08 15:02:44,-0.965,gt
2015-10-08 15:02:44,-1.059,gt
2015-10-08 15:02:44,-1.211,gt
2015-10-08 15:02:44,-1.383,gt
2015-10-08 15:02:44,-1.555,gt
2015-10-08 15:02:44,-1.719,gt
2015-10-08 15:02:44,-1.914,gt
2015-10-08 15:02:44,-2.203,gt
2015-10-08 15:02:44,-2.469,gt
2015-10-08 15:02:44,-2.559,gt
2015-10-08 15:02:44,-2.48,gt
2015-10-08 15:02:44,-2.273,gt
2015-10-08 15:02:44,-2.047,gt
2015-10-08 15:02:44,-1.797,gt
2015-10-08 15:02:44,-1.477,gt
2015-10-08 15:02:44,-1.137,gt
2015-10-08 15:02:44,-0.855,gt
2015-10-08 15:02:44,-0.656,gt
2015-10-08 15:02:44,-0.461,gt
2015-10-08 15:02:44,-0.27,gt
2015-10-08 15:02:44,-0.145,gt
2015-10-08 15:02:44,-0.023,gt
2015-10-08 15:02:44,0.066,gt
2015-10-08 15:02:44,0.102,gt
2015-10-08 15:02:44,0.102,gt
2015-10-08 15:02:44,0.086,gt
2015-10-08 15:02:44,0.086,gt
2015-10-08 15:02:44,0.133,gt
2015-10-08 15:02:44,0.199,gt
2015-10-08 15:02:44,0.277,gt
2015-10-08 15:02:44,0.348,gt
2015-10-08 15:02:44,0.371,gt
2015-10-08 15:02:44,0.344,gt
2015-10-08 15:02:44,0.25,gt
2015-10-08 15:02:44,0.133,gt
2015-10-08 15:02:44,-0.039,gt
2015-10-08 15:02:44,-0.223,gt
2015-10-08 15:02:44,-0.43,gt
2015-10-08 15:02:44,-0.785,gt
2015-10-08 15:02:44,-1.488,gt
2015-10-08 15:02:44,-2.859,gt
2015-10-08 15:02:44,-5.359,gt
2015-10-08 15:02:44,-5.18,gt
2015-10-08 15:02:44,-5.254,gt
2015-10-08 15:02:44,-5.078,gt
2015-10-08 15:02:44,-4.441,gt
2015-10-08 15:02:44,-3.902,gt
2015-10-08 15:02:44,-3.379,gt
2015-10-08 15:02:44,-2.691,gt
2015-10-08 15:02:44,-2.027,gt
2015-10-08 15:02:44,-1.609,gt
2015-10-08 15:02:44,-1.383,gt
2015-10-08 15:02:44,-1.168,gt
2015-10-08 15:02:44,-0.961,gt
2015-10-08 15:02:44,-0.773,gt
2015-10-08 15:02:44,-0.617,gt
2015-10-08 15:02:44,-0.512,gt
2015-10-08 15:02:44,-0.434,gt
2015-10-08 15:02:45,-0.379,gt
2015-10-08 15:02:45,-0.375,gt
2015-10-08 15:02:45,-0.41,gt
2015-10-08 15:02:45,-0.48,gt
2015-10-08 15:02:45,-0.574,gt
2015-10-08 15:02:45,-0.656,gt
2015-10-08 15:02:45,-0.715,gt
2015-10-08 15:02:45,-0.758,gt
2015-10-08 15:02:45,-0.82,gt
2015-10-08 15:02:45,-0.949,gt
2015-10-08 15:02:45,-1.168,gt
2015-10-08 15:02:45,-1.484,gt
2015-10-08 15:02:45,-1.969,gt
2015-10-08 15:02:45,-2.633,gt
2015-10-08 15:02:45,-3.152,gt
2015-10-08 15:02:45,-3.234,gt
2015-10-08 15:02:45,-3.027,gt
2015-10-08 15:02:45,-2.727,gt
2015-10-08 15:02:45,-2.332,gt
2015-10-08 15:02:45,-1.859,gt
2015-10-08 15:02:45,-1.43,gt
2015-10-08 15:02:45,-1.082,gt
2015-10-08 15:02:45,-0.836,gt
2015-10-08 15:02:45,-0.617,gt
2015-10-08 15:02:45,-0.367,gt
2015-10-08 15:02:45,-0.16,gt
2015-10-08 15:02:45,0.008,gt
2015-10-08 15:02:45,0.164,gt
2015-10-08 15:02:45,0.309,gt
2015-10-08 15:02:45,0.434,gt
2015-10-08 15:02:45,0.52,gt
2015-10-08 15:02:45,0.566,gt
2015-10-08 15:02:45,0.563,gt
2015-10-08 15:02:45,0.453,gt
2015-10-08 15:02:45,0.285,gt
2015-10-08 15:02:45,0.098,gt
2015-10-08 15:02:45,-0.082,gt
2015-10-08 15:02:45,-0.16,gt
2015-10-08 15:02:45,-0.156,gt
2015-10-08 15:02:45,-0.145,gt
2015-10-08 15:02:45,-0.191,gt
2015-10-08 15:02:45,-0.355,gt
2015-10-08 15:02:45,-0.621,gt
2015-10-08 15:02:45,-1.094,gt
2015-10-08 15:02:45,-1.695,gt
2015-10-08 15:02:45,-1.98,gt
2015-10-08 15:02:45,-1.875,gt
2015-10-08 15:02:45,-1.688,gt
2015-10-08 15:02:45,-1.488,gt
2015-10-08 15:02:45,-1.305,gt
2015-10-08 15:02:45,-1.125,gt
2015-10-08 15:02:45,-0.957,gt
2015-10-08 15:02:45,-0.813,gt
2015-10-08 15:02:45,-0.695,gt
2015-10-08 15:02:45,-0.602,gt
2015-10-08 15:02:45,-0.5,gt
2015-10-08 15:02:45,-0.402,gt
2015-10-08 15:02:45,-0.316,gt
2015-10-08 15:02:45,-0.266,gt
2015-10-08 15:02:45,-0.234,gt
2015-10-08 15:02:45,-0.219,gt
2015-10-08 15:02:45,-0.199,gt
2015-10-08 15:02:45,-0.211,gt
2015-10-08 15:02:45,-0.262,gt
2015-10-08 15:02:45,-0.348,gt
2015-10-08 15:02:45,-0.484,gt
2015-10-08 15:02:45,-0.711,gt
2015-10-08 15:02:45,-1.25,gt
2015-10-08 15:02:45,-1.418,gt
2015-10-08 15:02:45,-1.773,gt
2015-10-08 15:02:45,-1.984,gt
