HEADER_TIME_STAMP,X_ACCELERATION_METERS_PER_SECOND_SQUARED,group
2015-10-08 14:12:20,-0.961,gt
2015-10-08 14:12:20,-0.941,gt
2015-10-08 14:12:20,-0.938,gt
2015-10-08 14:12:20,-0.922,gt
2015-10-08 14:12:20,-0.898,gt
2015-10-08 14:12:20,-0.863,gt
2015-10-08 14:12:20,-0.754,gt
2015-10-08 14:12:20,-0.629,gt
2015-10-08 14:12:20,-0.543,gt
2015-10-08 14:12:20,-0.504,gt
2015-10-08 14:12:20,-0.566,gt
2015-10-08 14:12:20,-0.625,gt
2015-10-08 14:12:20,-0.645,gt
2015-10-08 14:12:20,-0.57,gt
2015-10-08 14:12:20,-0.426,gt
2015-10-08 14:12:20,-0.242,gt
2015-10-08 14:12:20,-0.059,gt
2015-10-08 14:12:20,0.133,gt
2015-10-08 14:12:20,0.172,gt
2015-10-08 14:12:20,-0.012,gt
2015-10-08 14:12:20,-0.336,gt
2015-10-08 14:12:20,-0.648,gt
2015-10-08 14:12:20,-1.105,gt
2015-10-08 14:12:20,-1.52,gt
2015-10-08 14:12:20,-1.66,gt
2015-10-08 14:12:20,-1.617,gt
2015-10-08 14:12:20,-1.527,gt
2015-10-08 14:12:20,-1.543,gt
2015-10-08 14:12:20,-1.547,gt
2015-10-08 14:12:20,-1.598,gt
2015-10-08 14:12:20,-1.609,gt
2015-10-08 14:12:20,-1.539,gt
2015-10-08 14:12:20,-1.477,gt
2015-10-08 14:12:20,-1.344,gt
2015-10-08 14:12:20,-1.191,gt
2015-10-08 14:12:20,-1.074,gt
2015-10-08 14:12:20,-0.965,gt
2015-10-08 14:12:20,-0.895,gt
2015-10-08 14:12:20,-0.801,gt
2015-10-08 14:12:20,-0.836,gt
2015-10-08 14:12:20,-0.891,gt
2015-10-08 14:12:20,-0.742,gt
2015-10-08 14:12:20,-0.633,gt
2015-10-08 14:12:20,-0.504,gt
2015-10-08 14:12:20,-0.457,gt
2015-10-08 14:12:20,-0.617,gt
2015-10-08 14:12:20,-1.012,gt
2015-10-08 14:12:20,-1.539,gt
2015-10-08 14:12:20,-2.25,gt
2015-10-08 14:12:20,-3.297,gt
2015-10-08 14:12:20,-4.191,gt
2015-10-08 14:12:20,-4.508,gt
2015-10-08 14:12:20,-4.508,gt
2015-10-08 14:12:20,-4.324,gt
2015-10-08 14:12:20,-3.988,gt
2015-10-08 14:12:20,-3.488,gt
2015-10-08 14:12:20,-2.891,gt
2015-10-08 14:12:20,-2.34,gt
2015-10-08 14:12:20,-1.879,gt
2015-10-08 14:12:20,-1.492,gt
2015-10-08 14:12:20,-1.207,gt
2015-10-08 14:12:20,-1.016,gt
2015-10-08 14:12:20,-0.918,gt
2015-10-08 14:12:20,-0.879,gt
2015-10-08 14:12:20,-0.855,gt
2015-10-08 14:12:20,-0.82,gt
2015-10-08 14:12:20,-0.863,gt
2015-10-08 14:12:20,-0.961,gt
2015-10-08 14:12:20,-1.094,gt
2015-10-08 14:12:20,-1.234,gt
2015-10-08 14:12:20,-1.262,gt
2015-10-08 14:12:20,-1.242,gt
2015-10-08 14:12:20,-1.27,gt
2015-10-08 14:12:20,-1.301,gt
2015-10-08 14:12:20,-1.324,gt
2015-10-08 14:12:20,-1.289,gt
2015-10-08 14:12:20,-1.246,gt
2015-10-08 14:12:20,-1.195,gt
2015-10-08 14:12:20,-1.082,gt
2015-10-08 14:12:20,-0.949,gt
2015-10-08 14:12:21,-0.824,gt
2015-10-08 14:12:21,-0.746,gt
2015-10-08 14:12:21,-0.691,gt
2015-10-08 14:12:21,-0.691,gt
2015-10-08 14:12:21,-0.734,gt
2015-10-08 14:12:21,-0.652,gt
2015-10-08 14:12:21,-0.508,gt
2015-10-08 14:12:21,-0.359,gt
2015-10-08 14:12:21,-0.313,gt
2015-10-08 14:12:21,-0.152,gt
2015-10-08 14:12:21,0.012,gt
2015-10-08 14:12:21,-0.004,gt
2015-10-08 14:12:21,-0.184,gt
2015-10-08 14:12:21,-0.398,gt
2015-10-08 14:12:21,-0.641,gt
2015-10-08 14:12:21,-0.824,gt
2015-10-08 14:12:21,-1.32,gt
2015-10-08 14:12:21,-1.582,gt
2015-10-08 14:12:21,-1.551,gt
2015-10-08 14:12:21,-1.406,gt
2015-10-08 14:12:21,-1.316,gt
2015-10-08 14:12:21,-1.242,gt
2015-10-08 14:12:21,-1.199,gt
2015-10-08 14:12:21,-1.258,gt
2015-10-08 14:12:21,-1.352,gt
2015-10-08 14:12:21,-1.508,gt
2015-10-08 14:12:21,-1.527,gt
2015-10-08 14:12:21,-1.387,gt
2015-10-08 14:12:21,-1.211,gt
2015-10-08 14:12:21,-1.07,gt
2015-10-08 14:12:21,-1,gt
2015-10-08 14:12:21,-0.957,gt
2015-10-08 14:12:21,-0.887,gt
2015-10-08 14:12:21,-0.945,gt
2015-10-08 14:12:21,-0.793,gt
2015-10-08 14:12:21,-0.563,gt
2015-10-08 14:12:21,-0.473,gt
