HEADER_TIME_STAMP,Y,group
2016-02-26 14:17:40,0.93,gt
2016-02-26 14:17:40,0.539,gt
2016-02-26 14:17:40,0.383,gt
2016-02-26 14:17:40,0.195,gt
2016-02-26 14:17:40,-0.152,gt
2016-02-26 14:17:40,-0.223,gt
2016-02-26 14:17:40,-0.02,gt
2016-02-26 14:17:40,0.801,gt
2016-02-26 14:17:40,3.43,gt
2016-02-26 14:17:40,5.027,gt
2016-02-26 14:17:40,2.723,gt
2016-02-26 14:17:40,1.676,gt
2016-02-26 14:17:40,1.445,gt
2016-02-26 14:17:40,0.734,gt
2016-02-26 14:17:40,-0.277,gt
2016-02-26 14:17:40,-1.031,gt
2016-02-26 14:17:40,-1.375,gt
2016-02-26 14:17:40,-1.051,gt
2016-02-26 14:17:40,-0.758,gt
2016-02-26 14:17:40,-0.793,gt
2016-02-26 14:17:40,-0.453,gt
2016-02-26 14:17:40,0.984,gt
2016-02-26 14:17:40,4.145,gt
2016-02-26 14:17:40,4.105,gt
2016-02-26 14:17:40,2.824,gt
2016-02-26 14:17:40,1.773,gt
2016-02-26 14:17:40,1.16,gt
2016-02-26 14:17:40,0.59,gt
2016-02-26 14:17:40,0.566,gt
2016-02-26 14:17:40,0.254,gt
2016-02-26 14:17:40,-0.141,gt
2016-02-26 14:17:40,-0.5,gt
2016-02-26 14:17:40,-0.496,gt
2016-02-26 14:17:40,0.445,gt
2016-02-26 14:17:40,2.492,gt
2016-02-26 14:17:40,5.309,gt
2016-02-26 14:17:40,3.25,gt
2016-02-26 14:17:40,1.785,gt
2016-02-26 14:17:40,1.008,gt
2016-02-26 14:17:40,0.758,gt
2016-02-26 14:17:41,0.215,gt
2016-02-26 14:17:41,-0.977,gt
2016-02-26 14:17:41,-1.52,gt
2016-02-26 14:17:41,-0.859,gt
2016-02-26 14:17:41,-0.898,gt
2016-02-26 14:17:41,-0.766,gt
2016-02-26 14:17:41,-0.52,gt
2016-02-26 14:17:41,0.996,gt
2016-02-26 14:17:41,4.375,gt
2016-02-26 14:17:41,4.137,gt
2016-02-26 14:17:41,2.508,gt
2016-02-26 14:17:41,1.449,gt
2016-02-26 14:17:41,0.996,gt
2016-02-26 14:17:41,0.875,gt
2016-02-26 14:17:41,0.59,gt
2016-02-26 14:17:41,0.129,gt
2016-02-26 14:17:41,-0.461,gt
2016-02-26 14:17:41,-0.32,gt
2016-02-26 14:17:41,0.184,gt
2016-02-26 14:17:41,0.738,gt
2016-02-26 14:17:41,2.676,gt
2016-02-26 14:17:41,5.051,gt
2016-02-26 14:17:41,3.004,gt
2016-02-26 14:17:41,1.98,gt
2016-02-26 14:17:41,1.395,gt
2016-02-26 14:17:41,0.789,gt
2016-02-26 14:17:41,0.078,gt
2016-02-26 14:17:41,-0.656,gt
