k,spar,average_extrapolation_rate,sd_extrapolation_rate,min_extrapolation_rate
0.65,0.3,0.63446196837277,0.28488072659372,-0.110985256798868
0.55,0.3,0.632254204353559,0.286825358650284,-0.148416881827525
0.75,0.3,0.631357592277738,0.281564880736588,-0.0844106125400093
0.35,0.3,0.631264586003483,0.28762330539524,-0.171597956776301
0.95,0.2,0.631069658039406,0.286944862338017,-0.143757873002303
0.45,0.3,0.631064275577473,0.28759530088218,-0.170147766902098
0.25,0.3,0.630988657756102,0.287800395650335,-0.173109670382617
0.15,0.3,0.628628048281371,0.2879890262498,-0.186197960173346
0.85,0.2,0.626940936833603,0.286916682710594,-0.156876554698656
0.05,0.3,0.626876692124074,0.287987158264636,-0.195770159837277
0.85,0.3,0.62547731350766,0.277961532053212,-0.0623819795448107
0.05,0.4,0.621815109814641,0.280342054404045,-0.0977049548504435
0.15,0.4,0.621589280765168,0.278741637858266,-0.0640312021138852
0.75,0.2,0.62155489690342,0.2867513696616,-0.17459130882523
0.25,0.4,0.61855860943686,0.275961820452429,-0.050727299005809
0.35,0.4,0.618230863093212,0.27513689569705,-0.0510070444168972
0.45,0.4,0.617504926711665,0.27459031790418,-0.0458802872391269
0.95,0.3,0.617447256887602,0.274294009314936,-0.0452731903943133
0.55,0.4,0.613830126993051,0.272935719013544,-0.0405736555466178
0.65,0.2,0.612826378557081,0.285364363556526,-0.1949971236246
0.25,0.2,0.605658329793914,0.285686462535463,-0.225154376766242
0.35,0.2,0.604220966103984,0.284605753913341,-0.225010569086184
0.15,0.2,0.604113286953196,0.285293163819604,-0.229455329096472
0.45,0.2,0.60359546269488,0.284568593244236,-0.224725140273523
0.55,0.2,0.602234688100185,0.284142744486548,-0.207366036182315
0.95,0.1,0.596737369497183,0.283395106938453,-0.18182148432903
0.05,0.2,0.59537901709504,0.282712409455593,-0.227373200109695
0.65,0.4,0.595254440989757,0.26756336261597,-0.0348051468402894
0.85,0.1,0.59360069199897,0.283415566976623,-0.192704103641209
0.75,0.1,0.587663730296616,0.282670025359048,-0.191629086703369
0.25,0.1,0.583148541406991,0.281667320820317,-0.224055427572465
0.15,0.1,0.582472933179152,0.281556632886354,-0.227008830877062
0.35,0.1,0.582324115669297,0.281237125964611,-0.224109003838666
0.45,0.1,0.581797129718,0.281141373546051,-0.224137909892136
0.65,0.1,0.579331534726079,0.281047013107107,-0.200429540057486
0.75,0.4,0.577467729432522,0.265659335393952,-0.0299781940627557
0.05,0.1,0.575657575248727,0.279461178925526,-0.222076431500303
0.25,0,0.574999332139807,0.280244285120398,-0.220891975186433
0.15,0,0.574782624171773,0.280663529171206,-0.223748586456701
0.35,0,0.574700932644284,0.280162470873418,-0.220907162488187
0.45,0,0.574398035709353,0.280113866216215,-0.22091951637104
0.55,0.1,0.571857764204684,0.280483281111433,-0.193932926430138
0.95,0,0.571563436481698,0.282340806620494,-0.124308139150274
0.05,0,0.570273552834447,0.278950631057102,-0.218896943685835
0.05,0.5,0.569432084486833,0.266176581688354,-0.0251610280782482
0.85,0,0.568156798685441,0.28010729863977,-0.168211084715482
0.15,0.5,0.564990348116907,0.267941611713526,-0.0215946861181094
0.75,0,0.564896745071899,0.279325292305439,-0.158364394942572
0.85,0.4,0.562386006429511,0.265615970599906,-0.0276688065375834
0.65,0,0.558837223025219,0.278747981317994,-0.208347928126136
0.55,0,0.558179369673945,0.279435978717521,-0.177928927996101
0.25,0.5,0.557800290315587,0.271123166550572,-0.0175261771145492
0.35,0.5,0.553659535546021,0.269718072683312,-0.0175394913466082
0.45,0.5,0.551130335915506,0.267959790717446,-0.0186844459810333
0.95,0.4,0.546555549963062,0.267271803136949,-0.0234488468004861
0.55,0.5,0.543038137209707,0.268737818833107,-0.0345003525527734
0.05,0.6,0.533906100505761,0.26581330533006,-0.027617444510966
0.05,0.7,0.523467147310041,0.266666712762505,-0.0632658111573662
0.05,0.8,0.521256503396339,0.266864264774852,-0.0706469342872455
0.05,0.9,0.520829349630612,0.266905142345503,-0.0720704024591483
0.05,1,0.520748140738835,0.266913063708344,-0.0723410159391541
0.65,0.5,0.519038211357839,0.276331012924496,-0.119709784949128
0.75,0.5,0.497493066533325,0.282860439937913,-0.177694157455742
0.15,0.6,0.486667500108767,0.286883054994184,-0.163581966207234
