HZ,TYPE,variable,value
1,counts,cv,0.178541406302121
2,counts,cv,0.243142542996915
3,counts,cv,0.247234860703558
4,counts,cv,0.361561914778555
5,counts,cv,0.353201550914564
1,enmo,cv,0.14435980104212
2,enmo,cv,0.0334053320241421
3,enmo,cv,0.0979708086387585
4,enmo,cv,0.33221897627119
5,enmo,cv,0.470049508596369
1,mims,cv,0.0144714277984802
2,mims,cv,0.010510426505565
3,mims,cv,0.0729649296433805
4,mims,cv,0.0758958806416099
5,mims,cv,0.178621289825208
1,mims_narrowband,cv,0.0131427883544017
2,mims_narrowband,cv,0.0123864673006745
3,mims_narrowband,cv,0.080975636059889
4,mims_narrowband,cv,0.180254390723487
5,mims_narrowband,cv,0.326772111354872
1,mims_narrowband_noextrap,cv,0.0131428057638699
2,mims_narrowband_noextrap,cv,0.0123864638959815
3,mims_narrowband_noextrap,cv,0.0869070527651265
4,mims_narrowband_noextrap,cv,0.198546133920796
5,mims_narrowband_noextrap,cv,0.242171601006786
1,mims_noextrap,cv,0.0144714243265396
2,mims_noextrap,cv,0.0105104267528191
3,mims_noextrap,cv,0.0894652428111784
4,mims_noextrap,cv,0.279450009530149
5,mims_noextrap,cv,0.386054677617757
