low_bandwidth,high_bandwidth,use_extrapolate,use_interpolate,name,DEVICE,GRANGE,SR,RPM,N,mean,sd,se,cv,SERIES
0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,2,18,60.7418442457322,2.11021514120276,0.497382478702333,0.0347407156863043,ActivPal3: 20Hz, 2g
0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,3,18,132.892686410171,1.41186873595899,0.332780652447294,0.0106241266852059,ActivPal3: 20Hz, 2g
0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,4,18,193.459191820859,1.20765335335179,0.28464662515924,0.00624241909616814,ActivPal3: 20Hz, 2g
0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,5,18,164.439692420337,7.44641986120179,1.75513799313933,0.045283591519786,ActivPal3: 20Hz, 2g
0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,6,18,122.288634286598,1.3194853588096,0.31100568163021,0.010789926361572,ActivPal3: 20Hz, 2g
0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,7,18,118.373950010994,4.03438202202371,0.95091296189002,0.0340816710234728,ActivPal3: 20Hz, 2g
0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,8,18,109.600959916435,3.39694638537834,0.800667941476052,0.0309937649083396,ActivPal3: 20Hz, 2g
0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,2,18,58.9243191454955,1.61446421372878,0.380532864503544,0.027398945582084,CLE2B41120128: 40Hz, 6g
0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,3,18,130.07101820623,0.939927502165044,0.221543036868212,0.00722626389127495,CLE2B41120128: 40Hz, 6g
0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,4,18,213.745458859276,0.553073788942174,0.130360742219183,0.00258753468678977,CLE2B41120128: 40Hz, 6g
0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,5,18,248.084124892698,0.657172073141248,0.154896943108199,0.00264898881952036,CLE2B41120128: 40Hz, 6g
