DEVICE,GRANGE,SR,TYPE,HZ,NAME,N,mean,sd,se,cv
Activpal,2,20,enmo,1,Activpal: 20Hz, 2g,30,0.298,0.00777263102838725,0.00141908178180409,0.0260826544576753
Activpal,2,20,enmo,2,Activpal: 20Hz, 2g,24,2.1685,0.0175077622536529,0.00357375700495078,0.00807367408515237
Activpal,2,20,enmo,3,Activpal: 20Hz, 2g,30,2.1496,0.0156725105266163,0.0028613958493883,0.00729089622563094
Activpal,2,20,enmo,4,Activpal: 20Hz, 2g,24,5.003,0.0747238393948881,0.0152529398449297,0.0149358063951405
Activpal,2,20,enmo,5,Activpal: 20Hz, 2g,30,5.0272,0.0762818729314575,0.013927100844434,0.0151738289567667
Activpal,2,20,enmo,6,Activpal: 20Hz, 2g,30,5.1696,0.0761167886687384,0.0138969607195739,0.0147239222896817
Activpal,2,20,enmo,7,Activpal: 20Hz, 2g,30,4.3556,0.166768391944409,0.030447603382272,0.0382882707191683
Activpal,2,20,mims,1,Activpal: 20Hz, 2g,30,25.8166681016,0.0891097391958803,0.016269138083662,0.00345163592936138
Activpal,2,20,mims,2,Activpal: 20Hz, 2g,24,100.346590839,0.177818585612717,0.0362970667945469,0.00177204411356651
Activpal,2,20,mims,3,Activpal: 20Hz, 2g,30,100.5128669208,0.198107690215176,0.0361693502486992,0.00197096845691684
Activpal,2,20,mims,4,Activpal: 20Hz, 2g,24,213.5474105995,2.40811329550383,0.49155406806637,0.0112767150336473
Activpal,2,20,mims,5,Activpal: 20Hz, 2g,30,213.0017222596,2.2912023580473,0.418314405103844,0.0107567316063992
Activpal,2,20,mims,6,Activpal: 20Hz, 2g,30,244.9831697164,6.05681389277537,1.10581786522792,0.0247233877322549
Activpal,2,20,mims,7,Activpal: 20Hz, 2g,30,201.0535239724,3.7714746529388,0.68857391415785,0.0187585602998759
Activpal,2,20,mims_narrowband,1,Activpal: 20Hz, 2g,30,25.6236028116,0.0969712613763362,0.0177044490951829,0.00378445069139288
Activpal,2,20,mims_narrowband,2,Activpal: 20Hz, 2g,24,95.285167749,0.12059949829369,0.0246172695045993,0.00126566916071737
Activpal,2,20,mims_narrowband,3,Activpal: 20Hz, 2g,30,95.2451638896,0.10375274787176,0.0189425734708364,0.00108932300218436
Activpal,2,20,mims_narrowband,4,Activpal: 20Hz, 2g,24,86.77922119,1.20440810437849,0.24584877481667,0.0138789918584482
Activpal,2,20,mims_narrowband,5,Activpal: 20Hz, 2g,30,86.42867264,1.19668262673607,0.218483356279294,0.013845898475389
Activpal,2,20,mims_narrowband,6,Activpal: 20Hz, 2g,30,82.9865107228,3.22900601784548,0.589533144764632,0.0389100106718709
Activpal,2,20,mims_narrowband,7,Activpal: 20Hz, 2g,30,87.7201672096,2.94697779527316,0.538042071645983,0.0335952140655592
Activpal,2,20,mims_narrowband_noextrap,1,Activpal: 20Hz, 2g,30,25.6236025764,0.0969711995998761,0.017704437816396,0.00378444831521033
Activpal,2,20,mims_narrowband_noextrap,2,Activpal: 20Hz, 2g,24,95.285168126,0.120599755322182,0.0246173219703205,0.00126567185317559
Activpal,2,20,mims_narrowband_noextrap,3,Activpal: 20Hz, 2g,30,95.245163764,0.103752961001231,0.0189426123827761,0.00108932524131422
Activpal,2,20,mims_narrowband_noextrap,4,Activpal: 20Hz, 2g,24,68.173948351,0.199797357752898,0.0407834648709087,0.00293069952064713
Activpal,2,20,mims_narrowband_noextrap,5,Activpal: 20Hz, 2g,30,68.02661915,0.359975720973974,0.0657222741772104,0.00529168912804884
Activpal,2,20,mims_narrowband_noextrap,6,Activpal: 20Hz, 2g,30,47.5027909832,1.57517273892108,0.287585880358091,0.0331595829701493
Activpal,2,20,mims_narrowband_noextrap,7,Activpal: 20Hz, 2g,30,59.495121658,2.41806959680068,0.441477087928385,0.0406431574457591
Activpal,2,20,mims_noextrap,1,Activpal: 20Hz, 2g,30,25.816668134,0.0891097144032826,0.0162691335571736,0.00345163496469659
Activpal,2,20,mims_noextrap,2,Activpal: 20Hz, 2g,24,100.346590849,0.177818560057579,0.0362970615781261,0.00177204385872119
Activpal,2,20,mims_noextrap,3,Activpal: 20Hz, 2g,30,100.5128669368,0.198107694515244,0.0361693510337806,0.00197096849938436
Activpal,2,20,mims_noextrap,4,Activpal: 20Hz, 2g,24,172.4079510365,0.459115666437207,0.0937165929740836,0.00266296109707846
Activpal,2,20,mims_noextrap,5,Activpal: 20Hz, 2g,30,172.2566733624,0.564237642303441,0.103015228161042,0.00327556332819906
Activpal,2,20,mims_noextrap,6,Activpal: 20Hz, 2g,30,176.3643063284,0.955904786676299,0.174523538163257,0.00542005809778965
Activpal,2,20,mims_noextrap,7,Activpal: 20Hz, 2g,30,153.9312266844,2.00489943353079,0.366042881758048,0.013024644035621
GT3X,3,30,counts,1,GT3X: 30Hz, 3g,30,7164.636,3390.1343909132,618.951026292399,0.473176081927009
GT3X,3,30,counts,2,GT3X: 30Hz, 3g,24,15200.915,9487.26588873693,1936.58004012649,0.624124658860136
GT3X,3,30,counts,3,GT3X: 30Hz, 3g,30,14877.004,9593.95537164924,1751.60859091672,0.644884909061612
GT3X,3,30,counts,4,GT3X: 30Hz, 3g,24,15445.685,9681.79199010857,1976.28751429427,0.626828268873059
GT3X,3,30,counts,5,GT3X: 30Hz, 3g,30,16447.564,8727.86572807587,1593.48297938114,0.530647926226393
GT3X,3,30,counts,6,GT3X: 30Hz, 3g,30,8191.552,5759.9974551661,1051.62684578894,0.703163143585746
GT3X,3,30,counts,7,GT3X: 30Hz, 3g,30,9928.168,7167.12970319668,1308.53287033538,0.721898511708976
GT3X,3,30,enmo,1,GT3X: 30Hz, 3g,30,0.6976,0.0290084411020726,0.00529619251655505,0.0415832011210902
GT3X,3,30,enmo,2,GT3X: 30Hz, 3g,24,7.3125,0.30439862309007,0.0621351087480375,0.0416271621319754
GT3X,3,30,enmo,3,GT3X: 30Hz, 3g,30,7.0192,0.179846371221049,0.0328353048010721,0.0256220610925816
GT3X,3,30,enmo,4,GT3X: 30Hz, 3g,24,22.879,0.43115739081242,0.0880096338600151,0.018845115206627
GT3X,3,30,enmo,5,GT3X: 30Hz, 3g,30,22.8556,0.482460761313183,0.0880848806941154,0.0211090831705658
GT3X,3,30,enmo,6,GT3X: 30Hz, 3g,30,30.0696,0.181206987762042,0.0330837182582777,0.00602625202071335
GT3X,3,30,enmo,7,GT3X: 30Hz, 3g,30,30.9184,0.0920785272059336,0.0168111621375143,0.00297811423637489
GT3X,3,30,mims,1,GT3X: 30Hz, 3g,30,25.3775913404,0.197693015706073,0.0360936413878131,0.00779006222672341
GT3X,3,30,mims,2,GT3X: 30Hz, 3g,24,100.58201874,1.24408685198699,0.253948165256129,0.0123688793242746
GT3X,3,30,mims,3,GT3X: 30Hz, 3g,30,98.7723604916,0.614215740192272,0.11213993869268,0.00621849814194232
GT3X,3,30,mims,4,GT3X: 30Hz, 3g,24,219.689580434,2.14487314160142,0.437820396660317,0.00976319922576297
GT3X,3,30,mims,5,GT3X: 30Hz, 3g,30,220.2028211032,2.51463590600951,0.459107603211284,0.0114196352862846
GT3X,3,30,mims,6,GT3X: 30Hz, 3g,30,372.8770760668,8.9392925102323,1.63208405199707,0.023973832353885
GT3X,3,30,mims,7,GT3X: 30Hz, 3g,30,380.4764677452,4.67736634267257,0.853966351865735,0.0122934445075981
GT3X,3,30,mims_narrowband,1,GT3X: 30Hz, 3g,30,24.9994810456,0.149897294683016,0.027367376535629,0.00599601625368133
GT3X,3,30,mims_narrowband,2,GT3X: 30Hz, 3g,24,95.50678537,1.60573066239457,0.327768398933994,0.0168127390758034
GT3X,3,30,mims_narrowband,3,GT3X: 30Hz, 3g,30,93.2466309336,0.456992283232035,0.0834349940439918,0.00490089860251846
GT3X,3,30,mims_narrowband,4,GT3X: 30Hz, 3g,24,87.7363202065,0.777787896781517,0.158765289602269,0.00886506175493663
GT3X,3,30,mims_narrowband,5,GT3X: 30Hz, 3g,30,87.7732516008,0.94852548426203,0.173176268032942,0.0108065437586385
GT3X,3,30,mims_narrowband,6,GT3X: 30Hz, 3g,30,58.3615281412,2.1271219041914,0.388357549829658,0.0364473304921872
GT3X,3,30,mims_narrowband,7,GT3X: 30Hz, 3g,30,55.7888919612,3.69750805671874,0.675069523073982,0.0662767788844109
GT3X,3,30,mims_narrowband_noextrap,1,GT3X: 30Hz, 3g,30,24.9994815264,0.149897541433936,0.0273674215859773,0.00599602600860505
GT3X,3,30,mims_narrowband_noextrap,2,GT3X: 30Hz, 3g,24,95.50678617,1.60572950881257,0.327768163460054,0.0168127268564393
GT3X,3,30,mims_narrowband_noextrap,3,GT3X: 30Hz, 3g,30,93.2466317212,0.45698834062647,0.0834342742259907,0.00490085627964374
GT3X,3,30,mims_narrowband_noextrap,4,GT3X: 30Hz, 3g,24,87.578988536,0.711588036557567,0.145252299719582,0.00812509996350396
