ACTIVITY_NAME,LOCATION,SD_AMP,MIN_AMP,MEAN_AMP,MEDIAN_AMP,MAX_AMP,SD_DOMINANT_FREQ,MIN_DOMINANT_FREQ,MEAN_DOMINANT_FREQ,MEDIAN_DOMINANT_FREQ,MAX_DOMINANT_FREQ,SD_DOMINANT_FREQ_SECOND,MIN_DOMINANT_FREQ_SECOND,MEAN_DOMINANT_FREQ_SECOND,MEDIAN_DOMINANT_FREQ_SECOND,MAX_DOMINANT_FREQ_SECOND,SD_DOMINANT_FREQ_THIRD,MIN_DOMINANT_FREQ_THIRD,MEAN_DOMINANT_FREQ_THIRD,MEDIAN_DOMINANT_FREQ_THIRD,MAX_DOMINANT_FREQ_THIRD
biking at 300 KPM/Min,DOMINANT WAIST,0.07,0.52,0.69,0.69,1.21,0.49,0.64,1.18,1.01,3.6,0.62,1.06,2.16,1.96,5.35,0.66,1.32,3.02,2.91,5.93
biking at 300 KPM/Min,NON DOMINANT WRIST,0.26,0.41,0.7,0.64,3.47,0.26,0.64,1.04,1.01,4.55,1.01,1.01,2.14,1.8,15.98,1.22,1.11,3.06,2.65,16.04
biking outdoor,DOMINANT WAIST,0.22,0.48,0.93,0.88,4.29,0.84,0.59,1.67,1.43,6.09,0.84,0.85,2.64,2.54,7.04,0.94,0.9,3.19,3.07,9.26
biking outdoor,NON DOMINANT WRIST,0.51,0.51,1.4,1.28,4.75,3.12,0.59,3.88,3.12,19.48,3.36,0.74,5.17,4.39,24.67,3.32,1.11,6.03,5.24,25.2
frisbee,DOMINANT WAIST,0.82,0.42,1.69,1.4,4.9,0.75,0.59,1.64,1.48,7.31,1,0.79,2.42,2.22,8.47,1.18,0.95,3.3,3.07,9.58
frisbee,NON DOMINANT WRIST,1.13,0.64,2.15,1.81,7.48,0.5,0.59,1.34,1.22,6.99,0.58,0.64,1.85,1.76,7.99,0.69,0.79,2.66,2.59,7.57
laundry,DOMINANT WAIST,0.13,0.39,0.6,0.58,2.34,0.39,0.66,1.11,1.01,9.85,0.4,0.79,1.86,1.8,8.42,0.55,1.22,2.66,2.59,9.74
laundry,NON DOMINANT WRIST,0.52,0.57,1.65,1.56,5.8,0.4,0.59,1.15,1.06,4.34,0.5,0.64,1.84,1.8,4.61,0.63,0.64,2.6,2.54,5.15
lying,DOMINANT WAIST,0.11,0.36,0.52,0.51,1.56,0.19,0.59,1.1,1.11,2.91,0.28,0.99,1.79,1.75,5.14,0.37,1.72,2.61,2.54,6.35
lying,NON DOMINANT WRIST,0.33,0.34,0.65,0.55,4.05,0.64,0.59,1.18,1.11,7.73,0.64,0.74,1.89,1.75,7.89,0.6,1.06,2.68,2.54,12.55
running at 5.5mph 5% grade,DOMINANT WAIST,0.54,0.62,2.13,2.04,4.36,0.91,0.85,3.21,2.96,7.04,1.5,1.16,4.73,4.5,10.27,2.02,1.27,5.65,5.4,14.66
running at 5.5mph 5% grade,NON DOMINANT WRIST,0.87,0.73,3.03,3.05,5.85,0.85,0.9,2.26,2.22,20.33,1.23,0.9,3.34,3.23,12.81,1.45,1.01,4.1,3.92,15.09
shelf reload,DOMINANT WAIST,0.16,0.43,0.81,0.8,1.51,0.33,0.59,1.01,0.9,3.55,0.53,1.01,1.95,1.83,6.35,0.66,1.69,2.87,2.75,6.51
shelf reload,NON DOMINANT WRIST,0.37,0.66,1.52,1.45,3.73,0.31,0.59,0.98,0.9,2.59,0.6,0.74,1.9,1.8,5.93,0.83,1.27,2.82,2.7,6.72
shelf unload,DOMINANT WAIST,0.15,0.43,0.81,0.8,1.56,0.24,0.59,0.97,0.9,2.11,0.43,1.01,1.9,1.8,4.24,0.65,1.58,2.78,2.65,5.82
shelf unload,NON DOMINANT WRIST,0.3,0.51,1.37,1.34,2.93,0.23,0.59,0.91,0.85,1.96,0.5,0.85,1.82,1.75,4.87,0.77,1.32,2.83,2.65,6.14
sitting,DOMINANT WAIST,0.08,0.37,0.53,0.53,2.13,0.18,0.59,1.1,1.11,3.44,0.26,0.92,1.79,1.75,7.62,0.34,1.25,2.58,2.54,8.89
sitting,NON DOMINANT WRIST,0.24,0.34,0.6,0.54,3.56,0.6,0.59,1.24,1.06,6.19,0.66,0.66,2,1.75,7.89,0.69,0.95,2.78,2.54,9.85
standing,DOMINANT WAIST,0.15,0.35,0.49,0.47,3.09,0.28,0.59,1.14,1.06,3.76,0.41,0.79,1.85,1.75,6.62,0.5,1.12,2.66,2.54,12.55
