ACTIVITY_NAME,LOCATION,SD_AMP,MIN_AMP,MEAN_AMP,MEDIAN_AMP,MAX_AMP,SD_DOMINANT_FREQ,MIN_DOMINANT_FREQ,MEAN_DOMINANT_FREQ,MEDIAN_DOMINANT_FREQ,MAX_DOMINANT_FREQ,SD_DOMINANT_FREQ_SECOND,MIN_DOMINANT_FREQ_SECOND,MEAN_DOMINANT_FREQ_SECOND,MEDIAN_DOMINANT_FREQ_SECOND,MAX_DOMINANT_FREQ_SECOND,SD_DOMINANT_FREQ_THIRD,MIN_DOMINANT_FREQ_THIRD,MEAN_DOMINANT_FREQ_THIRD,MEDIAN_DOMINANT_FREQ_THIRD,MAX_DOMINANT_FREQ_THIRD
biking at 300 KPM/Min,DOMINANT HIP,0.54,0.06,0.84,0.69,5.33,0.67,0.16,0.46,0.16,8.89,0.98,0.16,1.16,0.95,9.85,1.29,0.16,1.9,1.75,9.85
biking at 300 KPM/Min,NON DOMINANT WRIST,0.81,0.07,0.77,0.66,8,0.26,0.16,0.21,0.16,8.89,0.62,0.16,1.06,0.95,9.85,1.01,0.16,1.79,1.59,9.85
biking outdoor,DOMINANT HIP,0.76,0.04,1.47,1.34,7.78,1.24,0.16,0.59,0.16,9.85,2.49,0.16,2.24,1.11,9.85,2.54,0.16,3.08,2.06,9.85
biking outdoor,NON DOMINANT WRIST,0.97,0.14,1.43,1.27,8,1.29,0.16,0.56,0.16,9.85,2.58,0.16,2.47,1.27,9.85,2.59,0.16,3.2,2.06,9.85
frisbee,DOMINANT HIP,1.62,0.12,2.76,2.39,8.3,1.06,0.16,0.84,0.32,8.74,1.24,0.16,1.64,1.43,8.89,1.38,0.16,2.02,1.75,8.89
frisbee,NON DOMINANT WRIST,1.38,0.14,2.15,1.78,8.3,0.73,0.16,0.63,0.32,6.19,0.84,0.16,1.18,0.95,6.99,0.93,0.16,1.54,1.43,9.21
laundry,DOMINANT HIP,0.76,0.03,1.37,1.33,6.95,0.4,0.16,0.31,0.16,8.42,0.76,0.16,1.11,0.95,7.46,0.91,0.16,1.64,1.43,9.05
laundry,NON DOMINANT WRIST,0.67,0.23,1.65,1.53,7.12,0.41,0.16,0.35,0.16,9,0.69,0.16,1.03,0.79,6.51,0.82,0.16,1.51,1.43,8.36
lying,DOMINANT HIP,0.46,0.01,0.62,0.64,4.62,0.41,0.16,0.21,0.16,8.1,0.87,0.16,1.31,1.27,9.21,0.89,0.16,2.07,2.06,9.37
lying,NON DOMINANT WRIST,0.62,0.01,0.68,0.62,8,0.37,0.16,0.2,0.16,8.1,0.85,0.16,1.29,1.27,9.21,0.89,0.16,2.05,2.06,9.37
