ID,GRANGE,SR,MPH,name,LOCATION,N,mean,sd,se,cv,SERIES
GT3X+,6,80,1.9,Proposed,Nondominant wrist,48,10.3019566128008,2.41539503100987,0.348632242838209,0.234459833388212,GT3X+: 80Hz, 6g
GT3X+,6,80,1.9,Proposed,Waist,48,9.85940602778155,1.2858402106649,0.185595047940556,0.130417614107959,GT3X+: 80Hz, 6g
GT3X+,6,80,3.1,Proposed,Nondominant wrist,48,16.4024114576084,2.00949093830526,0.290045033541165,0.122511921097623,GT3X+: 80Hz, 6g
GT3X+,6,80,3.1,Proposed,Waist,48,18.0527980175537,1.45681727062422,0.210273460838747,0.0806975887730908,GT3X+: 80Hz, 6g
GT3X+,6,80,4.3,Proposed,Nondominant wrist,47,25.4266845465393,4.09471213330841,0.597275150511357,0.161039954926634,GT3X+: 80Hz, 6g
GT3X+,6,80,4.3,Proposed,Waist,47,31.0132639232657,3.10640014523494,0.453115030773753,0.100163599449607,GT3X+: 80Hz, 6g
GT3X+,6,80,5,Proposed,Nondominant wrist,47,59.7091306719941,17.9779800842096,2.62235791213255,0.301092644992099,GT3X+: 80Hz, 6g
GT3X+,6,80,5,Proposed,Waist,47,48.0396292735002,8.98417735362645,1.3104769533023,0.18701595931304,GT3X+: 80Hz, 6g
GT3X+,6,80,6.2,Proposed,Nondominant wrist,48,88.1972597497347,20.1684429162495,2.91106398670807,0.228674257833846,GT3X+: 80Hz, 6g
GT3X+,6,80,6.2,Proposed,Waist,48,57.8133937347405,7.6219642731291,1.1001357812112,0.131837343922417,GT3X+: 80Hz, 6g
GT3X+,6,80,7.5,Proposed,Nondominant wrist,48,93.4013653596619,20.6866933753685,2.98586699722806,0.22148170206838,GT3X+: 80Hz, 6g
GT3X+,6,80,7.5,Proposed,Waist,48,61.6563930882812,7.50194919892232,1.08281309736118,0.121673500883856,GT3X+: 80Hz, 6g
GT3X+,6,80,8.6,Proposed,Nondominant wrist,45,106.980528911446,26.6576239265616,3.97388394789444,0.249182016557682,GT3X+: 80Hz, 6g
GT3X+,6,80,8.6,Proposed,Waist,45,64.6498554337579,7.02273988618575,1.04688825158736,0.108627309977227,GT3X+: 80Hz, 6g
GT3X+,6,80,10,Proposed,Nondominant wrist,48,124.555777462069,30.9521337041073,4.46755568151491,0.24850018469463,GT3X+: 80Hz, 6g
GT3X+,6,80,10,Proposed,Waist,48,66.6761276087931,7.09957677531869,1.02473564059067,0.106478540820094,GT3X+: 80Hz, 6g
GT3X+,6,80,11.2,Proposed,Nondominant wrist,41,140.872363858546,44.074901660332,6.88334319716442,0.312871172550131,GT3X+: 80Hz, 6g
GT3X+,6,80,11.2,Proposed,Waist,41,67.5509324552471,8.85620702536908,1.38310716721619,0.131104141770898,GT3X+: 80Hz, 6g
GT3X+,6,80,12.4,Proposed,Nondominant wrist,34,139.649410690349,46.7753182730801,8.02190090342378,0.334948196643645,GT3X+: 80Hz, 6g
GT3X+,6,80,12.4,Proposed,Waist,34,64.4735108004567,10.2486897389016,1.75763578978618,0.158959696961764,GT3X+: 80Hz, 6g
GT9X,8,80,1.9,Proposed,Nondominant wrist,48,10.3170398808202,2.62679936663534,0.379145830358514,0.254607852347133,GT9X: 80Hz, 8g
GT9X,8,80,1.9,Proposed,Waist,48,9.79193618053726,1.56403018170111,0.225748311606459,0.159726345521923,GT9X: 80Hz, 8g
GT9X,8,80,3.1,Proposed,Nondominant wrist,48,15.6459391156966,2.42630502326962,0.350206964580214,0.155075704010343,GT9X: 80Hz, 8g
GT9X,8,80,3.1,Proposed,Waist,48,17.7923645749319,1.30900295599572,0.188938302253536,0.0735710506876643,GT9X: 80Hz, 8g
GT9X,8,80,4.3,Proposed,Nondominant wrist,47,23.9054167276446,5.24727963599384,0.765394399491316,0.219501701048608,GT9X: 80Hz, 8g
GT9X,8,80,4.3,Proposed,Waist,47,31.0490989074055,2.95114146201018,0.430468224265199,0.0950475719379512,GT9X: 80Hz, 8g
GT9X,8,80,5,Proposed,Nondominant wrist,47,61.1160572206867,18.1702339271659,2.65040101730081,0.297307037683308,GT9X: 80Hz, 8g
GT9X,8,80,5,Proposed,Waist,47,49.1108402906116,8.69216571351985,1.26788267790086,0.176990775602378,GT9X: 80Hz, 8g
GT9X,8,80,6.2,Proposed,Nondominant wrist,48,91.2770973316527,19.4810171110285,2.811842618285,0.213427219757491,GT9X: 80Hz, 8g
GT9X,8,80,6.2,Proposed,Waist,48,60.5519851104211,9.21252836281859,1.32971393254759,0.15214246644464,GT9X: 80Hz, 8g
GT9X,8,80,7.5,Proposed,Nondominant wrist,48,97.5072386697946,19.7187438131543,2.84615551215148,0.202228512284419,GT9X: 80Hz, 8g
GT9X,8,80,7.5,Proposed,Waist,48,65.5861993376681,9.90333160534685,1.42942279205528,0.150997186989902,GT9X: 80Hz, 8g
GT9X,8,80,8.6,Proposed,Nondominant wrist,45,111.071811393602,25.4022287041744,3.78674067750202,0.228700949281877,GT9X: 80Hz, 8g
GT9X,8,80,8.6,Proposed,Waist,45,70.0409456916063,11.1003991097148,1.65474979911336,0.158484426503754,GT9X: 80Hz, 8g
GT9X,8,80,10,Proposed,Nondominant wrist,48,128.314800225588,29.6435451303358,4.27867719018355,0.231022026128085,GT9X: 80Hz, 8g
GT9X,8,80,10,Proposed,Waist,48,72.4708352267066,11.4501409742788,1.65268549343976,0.157996536654503,GT9X: 80Hz, 8g
GT9X,8,80,11.2,Proposed,Nondominant wrist,41,143.727399665517,39.1614075825007,6.11598434301212,0.272470020842494,GT9X: 80Hz, 8g
GT9X,8,80,11.2,Proposed,Waist,41,73.3394289372546,13.1863567284926,2.05936293589382,0.17979901015829,GT9X: 80Hz, 8g
GT9X,8,80,12.4,Proposed,Nondominant wrist,34,139.610429196937,36.8959743003745,6.3276073899686,0.264278066564271,GT9X: 80Hz, 8g
GT9X,8,80,12.4,Proposed,Waist,34,69.1654785692016,13.5197183058496,2.31861256097849,0.195469164466531,GT9X: 80Hz, 8g
GT3X+,6,80,1.9,Actigraph count algorithm,Nondominant wrist,49,2938.59829565289,1160.77246893421,165.824638419172,0.395008896129611,GT3X+: 80Hz, 6g
GT3X+,6,80,1.9,Actigraph count algorithm,Waist,49,1977.04044257928,520.350909881382,74.3358442687688,0.263196897076381,GT3X+: 80Hz, 6g
GT3X+,6,80,3.1,Actigraph count algorithm,Nondominant wrist,50,5168.96794202591,1249.10502422305,176.650126608461,0.241654627815989,GT3X+: 80Hz, 6g
GT3X+,6,80,3.1,Actigraph count algorithm,Waist,50,4086.73378809101,687.879843324643,97.2809003712789,0.16832019871937,GT3X+: 80Hz, 6g
GT3X+,6,80,4.3,Actigraph count algorithm,Nondominant wrist,50,8410.50958383733,2167.25295420979,306.495852093664,0.25768390519103,GT3X+: 80Hz, 6g
GT3X+,6,80,4.3,Actigraph count algorithm,Waist,50,6261.64200332072,1249.95336331358,176.770099873193,0.199620700552777,GT3X+: 80Hz, 6g
GT3X+,6,80,5,Actigraph count algorithm,Nondominant wrist,49,15609.4607687913,3614.48532202565,516.355046003664,0.231557346891332,GT3X+: 80Hz, 6g
GT3X+,6,80,5,Actigraph count algorithm,Waist,49,7717.2989210915,2439.21129142989,348.458755918556,0.316070598841712,GT3X+: 80Hz, 6g
GT3X+,6,80,6.2,Actigraph count algorithm,Nondominant wrist,50,22136.3653092587,6693.64535799582,946.62440469934,0.302382313649122,GT3X+: 80Hz, 6g
GT3X+,6,80,6.2,Actigraph count algorithm,Waist,50,9467.54781737442,2922.17236876686,413.2575795502,0.308651450738302,GT3X+: 80Hz, 6g
GT3X+,6,80,7.5,Actigraph count algorithm,Nondominant wrist,50,23857.6663672639,6239.15949241246,882.350397197854,0.261515916786123,GT3X+: 80Hz, 6g
GT3X+,6,80,7.5,Actigraph count algorithm,Waist,50,9793.36659054592,2838.58566808904,401.436634976942,0.289847790526833,GT3X+: 80Hz, 6g
GT3X+,6,80,8.6,Actigraph count algorithm,Nondominant wrist,49,27272.4941604564,7718.49417946595,1102.64202563799,0.283013872293988,GT3X+: 80Hz, 6g
