ID,MPH,name,LOCATION,N,mean,sd,se,cv,SR,GRANGE,SERIES
GT3X+,1.9,Proposed,Nondominant wrist,72,15.896632307937,4.10398902839774,0.483659745315873,0.258167198492015,80,6,GT3X+: 80Hz, 6g
GT3X+,1.9,Proposed,Waist,72,16.2296682699074,2.05658208522846,0.242370523088636,0.126717444314109,80,6,GT3X+: 80Hz, 6g
GT3X+,3.1,Proposed,Nondominant wrist,72,25.4293652747255,3.59045774636224,0.423139503336085,0.141193368673296,80,6,GT3X+: 80Hz, 6g
GT3X+,3.1,Proposed,Waist,72,28.753896187219,2.45703347099399,0.289564171490362,0.0854504535662245,80,6,GT3X+: 80Hz, 6g
GT3X+,4.3,Proposed,Nondominant wrist,72,38.5638118827099,7.44392690207937,0.877275198519548,0.193028814804919,80,6,GT3X+: 80Hz, 6g
GT3X+,4.3,Proposed,Waist,72,48.5663682851922,7.56811245377205,0.891910606140763,0.155830314701121,80,6,GT3X+: 80Hz, 6g
GT3X+,5,Proposed,Nondominant wrist,72,101.130097507662,30.5354107066595,3.59863266283254,0.30194186952451,80,6,GT3X+: 80Hz, 6g
GT3X+,5,Proposed,Waist,72,64.8755762307538,10.8602395042613,1.27989149979554,0.167401048826648,80,6,GT3X+: 80Hz, 6g
GT3X+,6.2,Proposed,Nondominant wrist,73,134.639752017558,33.4891071544576,3.91960351993186,0.248731200500802,80,6,GT3X+: 80Hz, 6g
GT3X+,6.2,Proposed,Waist,73,74.5739443976635,12.1607795887245,1.42331159386361,0.163070086837267,80,6,GT3X+: 80Hz, 6g
GT3X+,7.5,Proposed,Nondominant wrist,72,146.081733797245,27.4146476733976,3.23084721228325,0.187666499847599,80,6,GT3X+: 80Hz, 6g
GT3X+,7.5,Proposed,Waist,72,82.9796677845488,9.16520168303268,1.08012937683579,0.110451173495048,80,6,GT3X+: 80Hz, 6g
GT3X+,8.6,Proposed,Nondominant wrist,71,158.342135347937,45.7351750161357,5.42776668434357,0.288837679974685,80,6,GT3X+: 80Hz, 6g
GT3X+,8.6,Proposed,Waist,71,84.903922595901,17.4911381619815,2.07581619515742,0.20601095482043,80,6,GT3X+: 80Hz, 6g
GT3X+,10,Proposed,Nondominant wrist,72,189.351397854443,46.7766515408872,5.51268125096025,0.24703620924333,80,6,GT3X+: 80Hz, 6g
GT3X+,10,Proposed,Waist,72,91.5531740270394,11.9317034961994,1.40616474221164,0.130325394209441,80,6,GT3X+: 80Hz, 6g
GT3X+,11.2,Proposed,Nondominant wrist,65,214.883134817564,60.5164590482177,7.50614293632439,0.281624982340267,80,6,GT3X+: 80Hz, 6g
GT3X+,11.2,Proposed,Waist,65,94.1562387694382,12.8002836407048,1.58767978404141,0.135947270281782,80,6,GT3X+: 80Hz, 6g
GT3X+,12.4,Proposed,Nondominant wrist,58,233.524678451439,60.6830682400954,7.96807722559005,0.259857196432086,80,6,GT3X+: 80Hz, 6g
GT3X+,12.4,Proposed,Waist,58,92.792306898903,12.9897356600694,1.70563585331445,0.139987204695985,80,6,GT3X+: 80Hz, 6g
GT9X,1.9,Proposed,Nondominant wrist,68,16.4062074023655,4.1912316606918,0.508261495248977,0.2554662121416,85.8823529411765,8,GT9X: 85.8823529411765Hz, 8g
GT9X,1.9,Proposed,Waist,68,17.2604238331175,3.06641180267213,0.371857051589937,0.177655649265611,85.8823529411765,8,GT9X: 85.8823529411765Hz, 8g
