ACTIVITY,LOCATION,HEADER_TIME_STAMP,X,Y,Z,SR,GRANGE,TYPE,GROUP
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.164,-1.059,0.254,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.117,-1.043,0.266,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.063,-1.02,0.27,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.023,-0.984,0.238,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.016,-0.938,0.215,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.035,-0.922,0.18,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.055,-0.93,0.184,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.082,-0.957,0.234,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.074,-0.996,0.258,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.039,-1.016,0.227,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.004,-1.023,0.188,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.055,-1.031,0.176,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.082,-1.039,0.18,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.082,-1.047,0.172,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.063,-1.059,0.172,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.035,-1.066,0.211,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.02,-1.078,0.258,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.031,-1.094,0.289,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.047,-1.09,0.313,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.078,-1.07,0.32,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.117,-1.039,0.305,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.148,-1.012,0.281,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.164,-0.973,0.254,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.164,-0.945,0.266,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.148,-0.926,0.289,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.117,-0.926,0.297,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.086,-0.93,0.301,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.047,-0.945,0.313,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.012,-0.973,0.336,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.016,-1.012,0.383,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.039,-1.023,0.438,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.051,-1.012,0.461,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.07,-0.973,0.453,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.055,-0.941,0.48,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.023,-0.906,0.5,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.008,-0.852,0.527,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.043,-0.805,0.527,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.07,-0.77,0.512,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.094,-0.77,0.523,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.133,-0.773,0.535,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.164,-0.766,0.527,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.168,-0.754,0.52,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.133,-0.734,0.523,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.078,-0.711,0.559,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.02,-0.66,0.555,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.039,-0.609,0.535,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.07,-0.621,0.535,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.066,-0.656,0.539,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.063,-0.707,0.551,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.055,-0.762,0.578,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.051,-0.793,0.586,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.035,-0.813,0.59,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.016,-0.816,0.598,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.008,-0.801,0.574,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.027,-0.797,0.543,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.027,-0.813,0.52,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,-0.016,-0.82,0.484,80,8,GT9X,Original
Bike -Erg.,Non-dominant hip,2015-10-08 15:24:00,0.012,-0.816,0.453,80,8,GT9X,Original
