HEADER_TIME_STAMP,Y,group
2016-02-26 14:17:40,-0.102,gt
2016-02-26 14:17:40,-0.504,gt
2016-02-26 14:17:40,-0.953,gt
2016-02-26 14:17:40,-1.285,gt
2016-02-26 14:17:40,-1.434,gt
2016-02-26 14:17:40,-1.344,gt
2016-02-26 14:17:40,-1.082,gt
2016-02-26 14:17:40,-0.906,gt
2016-02-26 14:17:40,-0.895,gt
2016-02-26 14:17:40,-0.914,gt
2016-02-26 14:17:40,-0.887,gt
2016-02-26 14:17:40,-0.809,gt
2016-02-26 14:17:40,-0.707,gt
2016-02-26 14:17:40,-0.617,gt
2016-02-26 14:17:40,-0.531,gt
2016-02-26 14:17:40,-0.27,gt
2016-02-26 14:17:40,0.293,gt
2016-02-26 14:17:40,1.355,gt
2016-02-26 14:17:40,2.707,gt
2016-02-26 14:17:40,3.988,gt
2016-02-26 14:17:40,4.672,gt
2016-02-26 14:17:40,4.535,gt
2016-02-26 14:17:40,3.957,gt
2016-02-26 14:17:40,3.254,gt
2016-02-26 14:17:40,2.641,gt
2016-02-26 14:17:40,2.121,gt
2016-02-26 14:17:40,1.691,gt
2016-02-26 14:17:40,1.398,gt
2016-02-26 14:17:40,1.195,gt
2016-02-26 14:17:40,1.055,gt
2016-02-26 14:17:40,0.965,gt
2016-02-26 14:17:40,0.906,gt
2016-02-26 14:17:40,0.84,gt
2016-02-26 14:17:40,0.746,gt
2016-02-26 14:17:40,0.605,gt
2016-02-26 14:17:40,0.418,gt
2016-02-26 14:17:40,0.215,gt
2016-02-26 14:17:40,0.145,gt
2016-02-26 14:17:40,-0.145,gt
2016-02-26 14:17:40,-0.375,gt
2016-02-26 14:17:40,-0.441,gt
2016-02-26 14:17:40,-0.406,gt
2016-02-26 14:17:40,-0.246,gt
2016-02-26 14:17:40,-0.063,gt
2016-02-26 14:17:40,0.102,gt
2016-02-26 14:17:40,0.273,gt
2016-02-26 14:17:40,0.488,gt
2016-02-26 14:17:40,0.836,gt
2016-02-26 14:17:40,1.461,gt
2016-02-26 14:17:40,2.457,gt
2016-02-26 14:17:40,3.734,gt
2016-02-26 14:17:40,4.758,gt
2016-02-26 14:17:40,4.801,gt
2016-02-26 14:17:40,4.051,gt
2016-02-26 14:17:40,3.273,gt
2016-02-26 14:17:40,2.676,gt
2016-02-26 14:17:40,2.25,gt
2016-02-26 14:17:40,1.934,gt
2016-02-26 14:17:40,1.668,gt
2016-02-26 14:17:40,1.418,gt
2016-02-26 14:17:40,1.18,gt
2016-02-26 14:17:40,0.941,gt
2016-02-26 14:17:40,0.695,gt
2016-02-26 14:17:40,0.426,gt
2016-02-26 14:17:40,0.145,gt
2016-02-26 14:17:40,-0.129,gt
2016-02-26 14:17:40,-0.398,gt
2016-02-26 14:17:40,-0.66,gt
2016-02-26 14:17:40,-0.883,gt
2016-02-26 14:17:40,-1.047,gt
2016-02-26 14:17:40,-1.137,gt
2016-02-26 14:17:40,-1.105,gt
2016-02-26 14:17:40,-1.016,gt
2016-02-26 14:17:40,-0.879,gt
2016-02-26 14:17:40,-0.762,gt
2016-02-26 14:17:40,-0.688,gt
2016-02-26 14:17:40,-0.664,gt
2016-02-26 14:17:40,-0.66,gt
2016-02-26 14:17:40,-0.637,gt
2016-02-26 14:17:40,-0.57,gt
2016-02-26 14:17:40,-0.406,gt
2016-02-26 14:17:40,-0.082,gt
2016-02-26 14:17:40,0.48,gt
2016-02-26 14:17:40,1.332,gt
2016-02-26 14:17:40,2.379,gt
2016-02-26 14:17:40,3.352,gt
2016-02-26 14:17:40,3.957,gt
2016-02-26 14:17:40,4.141,gt
2016-02-26 14:17:40,3.918,gt
2016-02-26 14:17:40,3.387,gt
2016-02-26 14:17:40,2.813,gt
2016-02-26 14:17:40,2.344,gt
2016-02-26 14:17:40,1.973,gt
2016-02-26 14:17:40,1.738,gt
2016-02-26 14:17:40,1.641,gt
2016-02-26 14:17:40,1.547,gt
2016-02-26 14:17:40,1.395,gt
2016-02-26 14:17:40,1.191,gt
2016-02-26 14:17:40,1.008,gt
2016-02-26 14:17:40,0.824,gt
2016-02-26 14:17:41,0.633,gt
2016-02-26 14:17:41,0.414,gt
2016-02-26 14:17:41,0.211,gt
2016-02-26 14:17:41,0.043,gt
2016-02-26 14:17:41,-0.004,gt
2016-02-26 14:17:41,-0.184,gt
2016-02-26 14:17:41,-0.309,gt
2016-02-26 14:17:41,-0.313,gt
2016-02-26 14:17:41,-0.266,gt
2016-02-26 14:17:41,-0.148,gt
2016-02-26 14:17:41,0.059,gt
2016-02-26 14:17:41,0.313,gt
2016-02-26 14:17:41,0.664,gt
2016-02-26 14:17:41,1.188,gt
2016-02-26 14:17:41,1.902,gt
2016-02-26 14:17:41,2.762,gt
2016-02-26 14:17:41,3.434,gt
2016-02-26 14:17:41,4.129,gt
2016-02-26 14:17:41,4.164,gt
2016-02-26 14:17:41,3.508,gt
2016-02-26 14:17:41,2.754,gt
2016-02-26 14:17:41,2.328,gt
2016-02-26 14:17:41,2.09,gt
2016-02-26 14:17:41,1.953,gt
2016-02-26 14:17:41,1.766,gt
2016-02-26 14:17:41,1.453,gt
2016-02-26 14:17:41,1.098,gt
2016-02-26 14:17:41,0.738,gt
2016-02-26 14:17:41,0.398,gt
2016-02-26 14:17:41,0.082,gt
2016-02-26 14:17:41,-0.238,gt
2016-02-26 14:17:41,-0.559,gt
2016-02-26 14:17:41,-0.867,gt
2016-02-26 14:17:41,-1.141,gt
2016-02-26 14:17:41,-1.426,gt
2016-02-26 14:17:41,-1.609,gt
2016-02-26 14:17:41,-1.602,gt
2016-02-26 14:17:41,-1.434,gt
2016-02-26 14:17:41,-1.23,gt
2016-02-26 14:17:41,-1.051,gt
2016-02-26 14:17:41,-0.93,gt
