resample,low_bandwidth,high_bandwidth,use_extrapolate,use_interpolate,name,DEVICE,GRANGE,SR,RPM,N,mean,sd,se,cv,SERIES
50,0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,2,18,43.0862817794904,0.427459404876766,0.100753147956776,0.0099210093612729,ActivPal3: 20Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,3,18,94.9280054786945,0.995784517186797,0.234708661567785,0.0104898919150923,ActivPal3: 20Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,4,18,138.06009838469,1.83960815516396,0.43359980041417,0.0133246910344659,ActivPal3: 20Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,5,18,116.307273617649,6.1567512095669,1.45116017678774,0.0529352207997474,ActivPal3: 20Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,6,18,84.0505312401067,1.0863837505556,0.256063105662914,0.0129253644745223,ActivPal3: 20Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,7,18,78.7011013677261,3.29011046738248,0.775486474112998,0.0418051388126024,ActivPal3: 20Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,ActivPal3,2,20,8,18,72.7955850276087,2.33321273384231,0.549943515350233,0.0320515692395,ActivPal3: 20Hz, 2g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,2,18,41.3234712163285,0.354221384107839,0.0834907809146459,0.00857191745227522,CLE2B41120128: 40Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,3,18,91.7208149326561,0.748774899406993,0.176487936317653,0.00816363112295462,CLE2B41120128: 40Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,4,18,151.452888458978,1.27438612982149,0.300375691415618,0.00841440624070145,CLE2B41120128: 40Hz, 6g
50,0.2,5,TRUE,TRUE,Proposed,CLE2B41120128,6,40,5,18,175.150728267203,1.27781058620568,0.301182843525997,0.00729549113981586,CLE2B41120128: 40Hz, 6g
