DEVICE,GRANGE,SR,RPM,name,N,mean,sd,se,cv,SERIES
ActivPal3,2,20,2,Proposed,15,60.1157285199913,0.195722899288656,0.0505354352944264,0.00325576856684967,ActivPal3: 20Hz, 2g
ActivPal3,2,20,2,NA,15,57.1771770468276,0.134136279596871,0.0346338384667269,0.0023459759037599,ActivPal3: 20Hz, 2g
ActivPal3,2,20,2,NA,15,57.1771770468276,0.134136279596871,0.0346338384667269,0.0023459759037599,ActivPal3: 20Hz, 2g
ActivPal3,2,20,2,Proposed without extrapolation,15,60.1157285199913,0.195722899288656,0.0505354352944264,0.00325576856684967,ActivPal3: 20Hz, 2g
ActivPal3,2,20,3,Proposed,15,132.65373709488,0.324796363384155,0.0838620604197042,0.00244845241828239,ActivPal3: 20Hz, 2g
ActivPal3,2,20,3,NA,15,51.6298878420953,0.18387947197263,0.0474774755106273,0.00356149276432687,ActivPal3: 20Hz, 2g
ActivPal3,2,20,3,NA,15,51.4554859060919,0.192194832214573,0.0496244922929448,0.00373516698618561,ActivPal3: 20Hz, 2g
ActivPal3,2,20,3,Proposed without extrapolation,15,132.20510656295,0.365219911669537,0.0942993757066306,0.00276252499744128,ActivPal3: 20Hz, 2g
ActivPal3,2,20,4,Proposed,15,195.347519389006,1.60639965839975,0.414770608289033,0.00822329182077217,ActivPal3: 20Hz, 2g
ActivPal3,2,20,4,NA,15,50.4382379801761,1.5631198608403,0.403595812610703,0.0309907705628943,ActivPal3: 20Hz, 2g
ActivPal3,2,20,4,NA,15,41.435633878855,0.502873897472793,0.129841482010303,0.012136266551226,ActivPal3: 20Hz, 2g
ActivPal3,2,20,4,Proposed without extrapolation,15,163.744020768013,0.726914944989785,0.187688631736981,0.0044393373362906,ActivPal3: 20Hz, 2g
ActivPal3,2,20,5,Proposed,15,164.993527019221,7.8956313926257,2.03864325942879,0.0478541887992121,ActivPal3: 20Hz, 2g
ActivPal3,2,20,5,NA,15,69.1933244828669,13.2119126287618,3.4113011721828,0.190942012506326,ActivPal3: 20Hz, 2g
ActivPal3,2,20,5,NA,15,53.1835320063847,12.1011073710883,3.12449248792618,0.227534857399759,ActivPal3: 20Hz, 2g
ActivPal3,2,20,5,Proposed without extrapolation,15,132.779860534694,3.89493112544096,1.00566689223052,0.0293337491827179,ActivPal3: 20Hz, 2g
ActivPal3,2,20,6,Proposed,15,122.315767725456,1.06248225159053,0.274331737736739,0.00868638828295077,ActivPal3: 20Hz, 2g
ActivPal3,2,20,6,NA,15,50.0346267024673,2.06908148564738,0.53423454239056,0.0413529913583895,ActivPal3: 20Hz, 2g
ActivPal3,2,20,6,NA,15,37.27300391639,1.24770344150519,0.322155643330352,0.0334747219275379,ActivPal3: 20Hz, 2g
ActivPal3,2,20,6,Proposed without extrapolation,15,95.6500213833576,0.640193310661373,0.165297202036326,0.00669308068521522,ActivPal3: 20Hz, 2g
ActivPal3,2,20,7,Proposed,15,118.057580973493,3.4048554394495,0.879129894215444,0.0288406336244852,ActivPal3: 20Hz, 2g
ActivPal3,2,20,7,NA,15,60.5316010684877,4.48359049276873,1.15765808731381,0.0740702445272483,ActivPal3: 20Hz, 2g
ActivPal3,2,20,7,NA,15,48.7025714262366,3.71688662917285,0.959696000968499,0.0763180776769115,ActivPal3: 20Hz, 2g
ActivPal3,2,20,7,Proposed without extrapolation,15,96.4316517117561,2.83371441616153,0.731661916113432,0.0293857293311929,ActivPal3: 20Hz, 2g
ActivPal3,2,20,8,Proposed,15,110.040816207047,3.34298493027734,0.863154997439101,0.0303794995848392,ActivPal3: 20Hz, 2g
ActivPal3,2,20,8,NA,15,62.1878984562823,1.54213983166047,0.398178792369607,0.0247980695592179,ActivPal3: 20Hz, 2g
ActivPal3,2,20,8,NA,15,51.1844022171722,1.55245476565577,0.400842096875008,0.030330622189721,ActivPal3: 20Hz, 2g
ActivPal3,2,20,8,Proposed without extrapolation,15,92.0627264747173,2.84009905879671,0.733310423753267,0.0308496083871323,ActivPal3: 20Hz, 2g
CLE2B41120128,6,40,2,Proposed,15,58.511802553364,0.145704537864318,0.03762074990769,0.00249017346084035,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,2,NA,15,55.7791589687346,0.137303722097291,0.0354516686036733,0.00246155956159634,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,2,NA,15,55.7791589687346,0.137303722097291,0.0354516686036733,0.00246155956159634,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,2,Proposed without extrapolation,15,58.511802553364,0.145704537864318,0.03762074990769,0.00249017346084035,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,3,Proposed,15,129.807518314926,0.217805509295628,0.0562371406809461,0.00167791135770126,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,3,NA,15,50.5497626147548,0.0866582912905676,0.0223750745986106,0.00171431648356096,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,3,NA,15,50.5497626147548,0.0866582912905676,0.0223750745986106,0.00171431648356096,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,3,Proposed without extrapolation,15,129.807518314926,0.217805509295628,0.0562371406809461,0.00167791135770126,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,4,Proposed,15,213.684908228989,0.590874872308982,0.152563236009675,0.00276516894527614,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,4,NA,15,26.831602115539,0.157726625821043,0.0407248396705593,0.00587839015880825,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,4,NA,15,26.831602115539,0.157726625821043,0.0407248396705593,0.00587839015880825,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,4,Proposed without extrapolation,15,213.684908228989,0.590874872308982,0.152563236009675,0.00276516894527614,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,5,Proposed,15,248.000261611478,0.713554345375188,0.184238939750136,0.00287723222846054,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,5,NA,15,16.7978559845328,0.197670923458484,0.0510384129722767,0.0117676281806736,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,5,NA,15,16.7978559845328,0.197670923458484,0.0510384129722767,0.0117676281806736,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,5,Proposed without extrapolation,15,248.000261611478,0.713554345375188,0.184238939750136,0.00287723222846054,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,6,Proposed,15,218.26530081847,0.588103008695389,0.151847543902115,0.0026944411525335,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,6,NA,15,19.3781544525858,0.685149976943311,0.176904963357056,0.0353568229946626,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,6,NA,15,13.8282603424982,0.345501264004255,0.0892080427721393,0.0249851576009479,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,6,Proposed without extrapolation,15,204.03363369918,0.726620778974109,0.187612678398332,0.00356127941163569,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,7,Proposed,15,151.261497073614,3.36926937497616,0.869941611877956,0.0222744679919203,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,7,NA,15,17.392718536865,1.70463623599665,0.440135183557116,0.0980086139141252,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,7,NA,15,9.85544111721752,1.10693818246518,0.285810209731249,0.112317467001182,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,7,Proposed without extrapolation,15,129.601803438349,3.16255783595327,0.816568922004318,0.0244021128722771,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,8,Proposed,15,143.153554630095,1.64158551050709,0.423855556237957,0.0114673052635606,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,8,NA,15,15.5986634654684,1.6529513315856,0.426790198621493,0.105967497487514,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,8,NA,15,8.05887812819414,0.73091855829456,0.188722360247251,0.0906973088149116,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,40,8,Proposed without extrapolation,15,122.112762482912,1.37490466716097,0.354998858569151,0.0112593036076255,CLE2B41120128: 40Hz, 6g
CLE2B41120128,6,80,1,Proposed,27,15.4155367014867,0.053520259498096,0.0102999787427748,0.00347183886844072,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,1,NA,27,15.3928414016765,0.0428981736470945,0.0082557573676311,0.00278689116113561,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,1,NA,27,15.3928414016765,0.0428981736470945,0.0082557573676311,0.00278689116113561,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,1,Proposed without extrapolation,27,15.4155367031884,0.0535202566521089,0.0102999781950643,0.00347183868343938,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,2,Proposed,27,60.3917688670342,0.087440952750405,0.0168280192028812,0.00144789520808582,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,2,NA,27,57.6262557949705,0.077005118919746,0.0148196420457648,0.00133628530706079,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,2,NA,27,57.6262557949705,0.077005118919746,0.0148196420457648,0.00133628530706079,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,2,Proposed without extrapolation,27,60.3917688670342,0.087440952750405,0.0168280192028812,0.00144789520808582,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,3,Proposed,21,134.084907359901,0.182342027504076,0.0397902925432927,0.0013598997164882,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,3,NA,21,52.3867816190767,0.0761755925580755,0.0166228770954998,0.00145409949234858,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,3,NA,21,52.3867816190767,0.0761755925580755,0.0166228770954998,0.00145409949234858,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,3,Proposed without extrapolation,21,134.084907359901,0.182342027504076,0.0397902925432927,0.0013598997164882,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,4,Proposed,21,222.213772947968,0.338853564688836,0.0739439099853432,0.00152489902040492,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,4,NA,21,27.6917606735364,0.103693808534554,0.0226278441289453,0.00374457260977447,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,4,NA,21,27.6917606735364,0.103693808534554,0.0226278441289453,0.00374457260977447,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,4,Proposed without extrapolation,21,222.213772947968,0.338853564688836,0.0739439099853432,0.00152489902040492,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,5,Proposed,21,258.933033179623,0.365551989696985,0.0797699839632452,0.00141176266777595,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,5,NA,21,16.9468056055451,0.132171021604656,0.0288420814849039,0.00779917022010384,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,5,NA,21,16.9468056055451,0.132171021604656,0.0288420814849039,0.00779917022010384,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,5,Proposed without extrapolation,21,258.933033179623,0.365551989696985,0.0797699839632452,0.00141176266777595,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,6,Proposed,21,233.899517641448,0.516900179551874,0.112796866644416,0.00220992409374801,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,6,NA,21,16.4158489161308,0.724532795887549,0.158106018125366,0.0441361759351719,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,6,NA,21,11.5623048807114,0.206990050971275,0.0451689322227921,0.0179021443481033,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,6,Proposed without extrapolation,21,208.18044069823,0.673935481728778,0.147064778978031,0.00323726609218628,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,7,Proposed,15,170.462122053319,1.18299970408519,0.305449210166016,0.00693995645387519,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,7,NA,15,19.6832391158258,2.58116673366778,0.666454384885326,0.131135262772501,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,7,NA,15,6.80837703298018,0.124175983995687,0.0320621012009476,0.0182387055526113,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,7,Proposed without extrapolation,15,126.289474833692,0.560076910791165,0.144611236539298,0.00443486610051012,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,8,Proposed,21,129.295810557157,2.80044159069601,0.611106455650811,0.0216591827579598,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,8,NA,21,21.2556120314312,1.6733114224711,0.36514648831943,0.0787232764691381,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,8,NA,21,6.17237289060927,0.697305972722207,0.152164638216397,0.11297210733705,CLE2B41120128: 80Hz, 6g
CLE2B41120128,6,80,8,Proposed without extrapolation,21,94.1108611767145,2.22341039035753,0.485187924512605,0.0236254387916244,CLE2B41120128: 80Hz, 6g
LG Watch R Urbane,2,100,1,Proposed,15,14.9240762405187,0.0677298524957047,0.0174877727171299,0.0045382944581735,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,1,NA,15,14.7760233969576,0.0487284333572571,0.0125816273919623,0.00329780429065173,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,1,NA,15,14.7760233969576,0.0487284333572571,0.0125816273919623,0.00329780429065173,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,1,Proposed without extrapolation,15,14.9240762586435,0.067729852518798,0.0174877727230926,0.00453829445420928,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,2,Proposed,15,58.450859631934,0.212989383807854,0.0549936224271198,0.00364390507084158,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,2,NA,15,55.5283301834389,0.205220960552734,0.0529878241675618,0.00369578843582695,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,2,NA,15,55.5283301834389,0.205220960552734,0.0529878241675618,0.00369578843582695,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,2,Proposed without extrapolation,15,58.450859502305,0.212989214067244,0.0549935786002827,0.00364390217493456,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,3,Proposed,15,130.509074423364,0.243916978162468,0.0629790929520317,0.00186896565806003,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,3,NA,15,51.4230567691075,0.172938562419495,0.0446525448111836,0.003363054887927,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,3,NA,15,51.4791058904867,0.174300436242462,0.0450041791202495,0.00338584816553064,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,3,Proposed without extrapolation,15,130.653535732044,0.244370207452464,0.0630961162515096,0.00187036811582077,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,4,Proposed,15,251.506018522451,3.20228880087788,0.826827413036437,0.0127324539575264,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,4,NA,15,38.1060158005392,0.772111867732231,0.199358427009069,0.0202622040512906,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,4,NA,15,25.4623007705364,0.631418047317175,0.163031438783615,0.0247981536706933,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,4,Proposed without extrapolation,15,172.095562373099,0.707925893914057,0.182785679831876,0.0041135627447458,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,5,Proposed,15,288.001197720695,4.99593357083012,1.28994450123891,0.0173469194238394,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,5,NA,15,31.3157448695917,1.57628812878945,0.406995844775065,0.0503353228656572,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,5,NA,15,12.9545196934527,0.557080323265677,0.143837520967187,0.043002777134781,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,5,Proposed without extrapolation,15,140.577095613125,0.672362468966855,0.173603242994902,0.00478287352597773,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,6,Proposed,15,174.682826755556,2.88577459563359,0.745103796653157,0.016520081849098,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,6,NA,15,33.5653538542917,2.00064558950917,0.516564469988823,0.0596044837839053,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,6,NA,15,10.7313772936758,0.478728352962745,0.123607129225468,0.044610150203634,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,6,Proposed without extrapolation,15,89.4010350469317,0.913571172106126,0.235883062342814,0.0102187986036911,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,7,Proposed,15,94.6835409791497,1.8257709116664,0.471412022324926,0.0192828752789088,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,7,NA,15,34.9270875613268,3.71156752476666,0.95832261411637,0.106266161421266,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,7,NA,15,6.32865240412712,0.874801744460386,0.225872839168551,0.138228755286023,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,7,Proposed without extrapolation,15,50.790354794201,0.928932669090069,0.239849383808923,0.0182895487313298,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,8,Proposed,15,88.2886330316982,13.3266682111859,3.44093093615697,0.150944326053856,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,8,NA,15,35.8031027811503,4.11250586426252,1.06184444823127,0.114864510190655,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,8,NA,15,9.50553535624768,2.1874828418501,0.56480564110666,0.230127263732951,LG Watch R Urbane: 100Hz, 2g
LG Watch R Urbane,2,100,8,Proposed without extrapolation,15,49.6606373930303,6.60395674696161,1.70513430000376,0.132981715371387,LG Watch R Urbane: 100Hz, 2g
MAT2C47090050,3,30,1,Proposed,27,15.4542635319705,0.0811480390931878,0.0156169474048874,0.00525085125702145,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,1,NA,27,15.3330050143238,0.0810139660985172,0.0155911450450327,0.0052836326618843,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,1,NA,27,15.3330050143238,0.0810139660985172,0.0155911450450327,0.0052836326618843,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,1,Proposed without extrapolation,27,15.4542635319705,0.0811480390931878,0.0156169474048874,0.00525085125702145,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,2,Proposed,27,60.8767765989977,0.225240661420061,0.0433475855011072,0.00369994395241632,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,2,NA,27,58.1290506123033,0.226875185958085,0.0436621498951155,0.00390295701664299,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,2,NA,27,58.1290506123033,0.226875185958085,0.0436621498951155,0.00390295701664299,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,2,Proposed without extrapolation,27,60.8767765989977,0.225240661420061,0.0433475855011072,0.00369994395241632,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,3,Proposed,21,136.773824036939,0.236558310038845,0.0516212553344684,0.00172955835449154,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,3,NA,21,55.0494593752204,0.149076962770126,0.0325312602984866,0.00270805498295649,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,3,NA,21,55.0494593752204,0.149076962770126,0.0325312602984866,0.00270805498295649,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,3,Proposed without extrapolation,21,136.773824036939,0.236558310038845,0.0516212553344684,0.00172955835449154,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,4,Proposed,21,241.278209472568,1.30570696739244,0.284928619690814,0.00541162407598558,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,4,NA,21,32.6051871954777,0.324111466851719,0.0707269204976749,0.00994048784043395,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,4,NA,21,30.6833567905095,0.27706980831779,0.0604615890191989,0.00902997055405257,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,4,Proposed without extrapolation,21,227.625939973648,0.765872091545449,0.167126992007675,0.00336460814454676,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,5,Proposed,21,261.65962257887,5.16942588061145,1.12806120939837,0.0197562995377832,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,5,NA,21,23.8072860492626,1.20822694150796,0.263656734102153,0.0507503013576544,MAT2C47090050: 30Hz, 3g
MAT2C47090050,3,30,5,NA,21,14.8785656921698,0.262269155748941,0.0572318218415088,0.0176273144317242,MAT2C47090050: 30Hz, 3g
