ID,MPH,name,LOCATION,N,mean,sd,se,cv,SERIES,
GT3X+,1.9,Proposed,Nondominant wrist,72,9.838650907,2.435048008,0.28697316,0.247498161,GT3X+: Hz, g
GT3X+,1.9,Proposed,Waist,72,9.738699749,1.351893766,0.159322208,0.138816659,GT3X+: Hz, g
GT3X+,3.1,Proposed,Nondominant wrist,72,16.41197138,1.809265559,0.213223991,0.110240599,GT3X+: Hz, g
GT3X+,3.1,Proposed,Waist,72,17.71496647,1.347868512,0.158847827,0.076086427,GT3X+: Hz, g
GT3X+,4.3,Proposed,Nondominant wrist,71,25.68122225,3.407083391,0.404346408,0.132668272,GT3X+: Hz, g
GT3X+,4.3,Proposed,Waist,71,30.49633542,2.669829431,0.31685046,0.08754591,GT3X+: Hz, g
GT3X+,5,Proposed,Nondominant wrist,71,66.90412184,18.11499236,2.149854067,0.270760483,GT3X+: Hz, g
GT3X+,5,Proposed,Waist,71,47.82055135,7.61171804,0.903344736,0.159172528,GT3X+: Hz, g
GT3X+,6.2,Proposed,Nondominant wrist,72,88.14978354,17.62441181,2.077056851,0.199937097,GT3X+: Hz, g
GT3X+,6.2,Proposed,Waist,72,55.73988999,7.267956811,0.856536924,0.130390584,GT3X+: Hz, g
GT3X+,7.5,Proposed,Nondominant wrist,72,93.6809482,17.83988365,2.10245045,0.190432356,GT3X+: Hz, g
GT3X+,7.5,Proposed,Waist,72,60.72514664,6.415852065,0.756115417,0.105653958,GT3X+: Hz, g
GT3X+,8.6,Proposed,Nondominant wrist,69,103.9607107,23.32313871,2.80777595,0.224345703,GT3X+: Hz, g
GT3X+,8.6,Proposed,Waist,69,63.28548597,6.153053123,0.740740549,0.097226924,GT3X+: Hz, g
GT3X+,10,Proposed,Nondominant wrist,72,120.0436917,29.17341023,3.438119368,0.243023268,GT3X+: Hz, g
GT3X+,10,Proposed,Waist,72,65.46470209,7.350174654,0.86622639,0.112276913,GT3X+: Hz, g
GT3X+,11.2,Proposed,Nondominant wrist,65,135.1384376,37.12287196,4.60452557,0.274702539,GT3X+: Hz, g
GT3X+,11.2,Proposed,Waist,65,66.63395196,7.557975022,0.937451426,0.113425285,GT3X+: Hz, g
GT3X+,12.4,Proposed,Nondominant wrist,58,145.3902628,37.46303871,4.919137976,0.257672268,GT3X+: Hz, g
GT3X+,12.4,Proposed,Waist,58,64.57638868,8.223967886,1.079859887,0.127352552,GT3X+: Hz, g
GT9X,1.9,Proposed,Nondominant wrist,68,10.12596183,2.513216345,0.304772249,0.248195321,GT9X: Hz, g
GT9X,1.9,Proposed,Waist,68,10.49025158,1.92255276,0.233143768,0.183270415,GT9X: Hz, g
GT9X,3.1,Proposed,Nondominant wrist,68,15.51709976,2.273625355,0.275717573,0.14652386,GT9X: Hz, g
GT9X,3.1,Proposed,Waist,68,18.05900607,1.308192402,0.158641631,0.072439889,GT9X: Hz, g
GT9X,4.3,Proposed,Nondominant wrist,67,23.67491071,4.798111901,0.586182665,0.202666526,GT9X: Hz, g
GT9X,4.3,Proposed,Waist,67,31.0907682,2.761476511,0.337368051,0.088819822,GT9X: Hz, g
GT9X,5,Proposed,Nondominant wrist,67,63.46875842,16.33640002,1.995808913,0.257392778,GT9X: Hz, g
GT9X,5,Proposed,Waist,67,45.36665284,10.24285897,1.251364389,0.225779473,GT9X: Hz, g
GT9X,6.2,Proposed,Nondominant wrist,68,88.01215552,17.44657068,2.115707463,0.198229103,GT9X: Hz, g
GT9X,6.2,Proposed,Waist,68,55.43433081,11.69485173,1.418209087,0.210967672,GT9X: Hz, g
GT9X,7.5,Proposed,Nondominant wrist,68,96.28890419,16.90904077,2.050522386,0.175607365,GT9X: Hz, g
GT9X,7.5,Proposed,Waist,68,60.80142887,12.04814396,1.461052063,0.198155606,GT9X: Hz, g
