HEADER_TIME_STAMP,X,Y,Z
2016-10-03 15:13:00.897,-0.000,-0.015,0.978
2016-10-03 15:13:00.907,0.006,-0.019,0.977
2016-10-03 15:13:00.918,0.004,-0.018,0.968
2016-10-03 15:13:00.928,0.002,-0.015,0.965
2016-10-03 15:13:00.938,0.002,-0.014,0.982
2016-10-03 15:13:00.948,0.003,-0.021,0.965
2016-10-03 15:13:00.953,0.002,-0.015,0.979
2016-10-03 15:13:00.977,-0.002,-0.014,0.970
2016-10-03 15:13:00.988,0.003,-0.017,0.977
2016-10-03 15:13:00.997,0.006,-0.017,0.977
2016-10-03 15:13:01.007,0.003,-0.014,0.979
2016-10-03 15:13:01.017,0.006,-0.019,0.977
2016-10-03 15:13:01.027,0.003,-0.013,0.980
2016-10-03 15:13:01.036,0.003,-0.015,0.969
2016-10-03 15:13:01.046,0.003,-0.015,0.971
2016-10-03 15:13:01.056,-0.000,-0.015,0.976
2016-10-03 15:13:01.066,0.006,-0.015,0.972
2016-10-03 15:13:01.077,0.007,-0.018,0.973
2016-10-03 15:13:01.086,0.007,-0.015,0.974
2016-10-03 15:13:01.096,0.005,-0.017,0.967
2016-10-03 15:13:01.106,0.001,-0.016,0.968
2016-10-03 15:13:01.116,0.003,-0.015,0.969
2016-10-03 15:13:01.126,0.005,-0.015,0.972
2016-10-03 15:13:01.136,0.003,-0.015,0.971
2016-10-03 15:13:01.146,0.003,-0.017,0.965
2016-10-03 15:13:01.156,0.002,-0.015,0.972
2016-10-03 15:13:01.166,0.004,-0.019,0.975
2016-10-03 15:13:01.176,0.002,-0.016,0.974
2016-10-03 15:13:01.186,0.002,-0.013,0.968
2016-10-03 15:13:01.195,0.001,-0.016,0.973
2016-10-03 15:13:01.205,0.000,-0.020,0.972
2016-10-03 15:13:01.215,0.005,-0.016,0.969
2016-10-03 15:13:01.225,-0.000,-0.011,0.973
2016-10-03 15:13:01.235,0.002,-0.017,0.970
2016-10-03 15:13:01.245,0.005,-0.015,0.975
2016-10-03 15:13:01.255,0.006,-0.015,0.974
2016-10-03 15:13:01.265,0.004,-0.017,0.973
2016-10-03 15:13:01.275,0.002,-0.018,0.978
2016-10-03 15:13:01.284,0.002,-0.015,0.970
2016-10-03 15:13:01.294,0.003,-0.015,0.971
2016-10-03 15:13:01.305,0.006,-0.020,0.971
2016-10-03 15:13:01.315,0.003,-0.016,0.973
2016-10-03 15:13:01.324,0.003,-0.022,0.975
2016-10-03 15:13:01.334,0.003,-0.015,0.973
2016-10-03 15:13:01.344,0.003,-0.018,0.975
2016-10-03 15:13:01.354,0.006,-0.017,0.969
2016-10-03 15:13:01.364,0.001,-0.014,0.975
2016-10-03 15:13:01.374,0.007,-0.021,0.972
2016-10-03 15:13:01.384,0.001,-0.018,0.964
2016-10-03 15:13:01.394,-0.000,-0.011,0.981
2016-10-03 15:13:01.404,0.006,-0.021,0.971
2016-10-03 15:13:01.414,-0.003,-0.012,0.973
2016-10-03 15:13:01.424,0.005,-0.021,0.968
2016-10-03 15:13:01.434,0.002,-0.019,0.973
2016-10-03 15:13:01.444,0.005,-0.010,0.976
2016-10-03 15:13:01.454,0.002,-0.014,0.971
2016-10-03 15:13:01.463,0.000,-0.008,0.980
2016-10-03 15:13:01.474,0.005,-0.021,0.978
2016-10-03 15:13:01.483,-0.001,-0.013,0.972
2016-10-03 15:13:01.493,0.001,-0.013,0.974
2016-10-03 15:13:01.503,0.001,-0.016,0.969
2016-10-03 15:13:01.513,0.002,-0.013,0.977
2016-10-03 15:13:01.523,0.006,-0.017,0.967
2016-10-03 15:13:01.533,0.002,-0.012,0.976
2016-10-03 15:13:01.543,0.005,-0.015,0.971
2016-10-03 15:13:01.553,0.003,-0.019,0.970
2016-10-03 15:13:01.562,0.003,-0.017,0.980
2016-10-03 15:13:01.573,0.004,-0.017,0.974
2016-10-03 15:13:01.583,-0.001,-0.009,0.976
2016-10-03 15:13:01.592,0.005,-0.018,0.970
2016-10-03 15:13:01.602,0.004,-0.012,0.975
2016-10-03 15:13:01.612,0.005,-0.013,0.974
2016-10-03 15:13:01.622,0.002,-0.017,0.970
2016-10-03 15:13:01.632,0.000,-0.016,0.974
2016-10-03 15:13:01.643,0.002,-0.015,0.970
2016-10-03 15:13:01.652,0.000,-0.014,0.969
2016-10-03 15:13:01.662,-0.001,-0.014,0.975
2016-10-03 15:13:01.672,0.005,-0.013,0.973
2016-10-03 15:13:01.681,0.004,-0.012,0.979
